time,ax,ay,az,aT
0.0270,1.7180,0.0210,-0.2170,1.732
0.0270,1.5810,0.0100,-0.0970,1.584
0.0270,1.4110,0.0930,0.2800,1.442
0.0340,1.2900,0.1900,0.3890,1.361
0.0420,0.9920,0.0980,0.5260,1.127
0.0550,0.8890,-0.1020,0.4450,0.999
0.0700,0.4960,-0.1890,0.3200,0.620
0.0730,0.0890,-0.2750,0.0630,0.296
0.0820,-0.3210,-0.4700,0.0800,0.575
0.0920,-0.6140,-1.1840,0.4060,1.394
0.1030,-1.3930,-1.5130,0.6790,2.166
0.1170,-1.0740,-1.5720,0.2490,1.920
0.1230,-1.3010,-1.2500,-0.4230,1.853
0.1330,-1.7480,-1.0300,-0.9450,2.238
0.1650,-1.9740,-1.4600,-0.4310,2.493
0.1660,-1.4590,-0.7370,-0.0650,1.636
0.1660,-1.4030,-0.3280,0.0980,1.444
0.1840,-1.4970,-0.3040,0.3650,1.571
0.1850,-1.3630,-0.6540,-0.1340,1.518
0.2020,-1.2010,-0.8550,-0.3700,1.520
0.2050,-0.8270,-0.9160,-0.1500,1.243
0.2220,-0.6400,-1.3900,0.0730,1.532
0.2230,-1.0070,-0.9730,-0.4100,1.459
0.2670,-1.2730,-0.6410,-0.7370,1.605
0.2680,-1.1520,-0.8600,-0.5160,1.527
0.2690,-0.8710,-1.2790,-0.5050,1.628
0.2690,-0.8490,-1.2170,-0.5310,1.576
0.2800,-1.0740,-0.8610,-0.9600,1.678
0.2820,-1.6110,-0.2010,-2.1410,2.687
0.3080,-2.4550,0.3340,-2.4100,3.456
0.3090,-1.0630,0.9250,-0.3870,1.461
0.3140,-0.3560,1.8150,1.1130,2.159
0.3290,-0.2530,2.5090,0.6600,2.607
0.3340,-0.3420,3.0050,-0.2590,3.035
0.3510,-0.5890,2.3190,-1.2380,2.694
0.3540,-0.5750,1.4160,-1.9820,2.503
0.3630,0.0310,0.7380,-1.6620,1.819
0.3880,0.1730,0.4210,-0.7490,0.876
0.3880,-0.0140,0.5170,-0.3570,0.628
0.3940,0.0490,0.5750,-0.4960,0.761
0.4040,0.2410,0.3180,-0.7250,0.828
0.4160,0.1270,0.1270,-0.9880,1.004
0.4530,0.0100,0.1150,-1.0160,1.023
0.4530,0.1110,0.1390,-0.8080,0.827
0.4530,0.2720,0.0800,-1.0840,1.120
0.4540,0.5260,0.5290,-1.2980,1.497
0.4630,-0.6270,0.4580,0.5180,0.933
0.4730,0.4910,0.0150,0.0970,0.501
0.4820,-0.0620,0.2210,0.6490,0.688
0.4950,0.2270,0.7280,0.7640,1.079
0.5040,0.3160,0.9690,0.6940,1.233
0.5150,0.5500,0.8980,0.2950,1.094
0.5240,0.7430,0.8440,-0.5390,1.247
0.5320,0.7610,0.8400,-1.0480,1.544
0.5680,1.0540,0.7440,-0.9770,1.618
0.5680,1.1100,0.6440,-0.5710,1.405
0.5680,1.0920,0.2860,-0.1680,1.141
0.5770,1.0190,-0.2350,-0.3230,1.094
0.5820,0.7360,-0.4880,-0.5690,1.051
0.6030,0.5940,-0.5290,-0.3290,0.861
0.6190,0.6090,-0.5330,-0.0320,0.810
0.6200,0.6470,-0.5720,-0.0210,0.864
0.6400,1.0600,-0.7580,-0.0540,1.304
0.6410,1.1550,-1.1140,0.1900,1.616
0.6430,0.0580,-0.7560,0.5750,0.952
0.6540,0.2970,-0.9080,0.3310,1.011
0.6730,0.7750,-1.2630,0.1810,1.493
0.6730,0.8380,-1.6830,-0.0200,1.880
0.6830,0.5760,-1.9990,-0.2940,2.101
0.6930,0.5780,-2.1250,-0.2540,2.217
0.7040,-0.5730,-1.2550,0.4920,1.465
0.7160,-1.2780,-0.1950,1.4800,1.965
0.7230,-0.1060,-0.0150,1.4970,1.501
0.7330,0.3440,-0.3210,1.0910,1.188
0.7460,-0.5780,-0.4740,1.0630,1.300
0.7510,-0.8180,-0.8210,0.9010,1.468
0.7620,0.7740,-1.4910,-0.1640,1.688
0.7720,1.7500,-1.5820,-1.4450,2.766
0.7820,0.7750,-1.6510,-1.3560,2.273
0.7960,1.1970,-2.3530,-0.6660,2.723
0.8030,0.9280,-3.7800,0.7990,3.973
0.8160,0.4730,-4.8260,1.9880,5.241
0.8220,1.6840,-4.3460,0.9000,4.747
0.8320,1.9310,-3.8020,-0.9600,4.371
0.8440,1.5170,-3.4940,-2.4080,4.506
0.8520,1.0360,-3.3970,-3.3770,4.901
0.8620,0.7300,-3.1960,-3.9750,5.152
0.8720,0.4130,-3.4050,-3.7700,5.097
0.8820,0.1960,-4.2050,-2.7790,5.044
0.8930,0.0850,-5.3340,-1.6920,5.597
0.9080,0.0130,-5.8670,-0.9000,5.936
0.9120,0.2390,-5.4490,-0.1050,5.455
0.9330,1.0070,-4.5740,0.6520,4.729
0.9340,2.0950,-3.9500,1.0790,4.600
0.9420,2.2110,-4.0790,1.1360,4.777
0.9530,1.0710,-4.5030,0.9740,4.730
0.9640,-0.7490,-4.3540,0.5140,4.448
