time,wx,wy,wz
0.467,1.38,0.62,-0.16
0.467,1.42,0.66,-0.17
0.468,1.46,0.69,-0.18
0.491,1.50,0.71,-0.19
0.492,1.54,0.71,-0.19
0.492,1.58,0.71,-0.18
0.492,1.62,0.71,-0.17
0.493,1.66,0.71,-0.16
0.493,1.70,0.75,-0.15
0.494,1.74,0.80,-0.14
0.494,1.78,0.89,-0.14
0.494,1.83,0.99,-0.14
0.495,1.87,1.07,-0.16
0.495,1.92,1.11,-0.19
0.497,1.95,1.11,-0.22
0.500,1.96,1.08,-0.25
0.502,1.97,1.01,-0.28
0.505,1.96,0.92,-0.31
0.507,1.92,0.82,-0.33
0.510,1.85,0.71,-0.35
0.512,1.77,0.58,-0.35
0.514,1.66,0.44,-0.35
0.517,1.53,0.32,-0.32
0.520,1.38,0.21,-0.29
0.522,1.24,0.11,-0.24
0.525,1.09,0.04,-0.18
0.527,0.94,-0.01,-0.12
0.529,0.80,-0.01,-0.05
0.546,0.65,0.03,0.02
0.548,0.50,0.10,0.08
0.548,0.36,0.17,0.13
0.549,0.24,0.22,0.16
0.550,0.13,0.25,0.17
0.551,0.05,0.25,0.17
0.552,-0.02,0.25,0.16
0.552,-0.08,0.25,0.15
0.553,-0.12,0.26,0.14
0.555,-0.17,0.29,0.14
0.572,-0.21,0.33,0.12
0.573,-0.25,0.37,0.12
0.573,-0.28,0.41,0.11
0.574,-0.32,0.45,0.10
0.574,-0.36,0.47,0.07
0.574,-0.40,0.49,0.06
0.576,-0.44,0.49,0.03
0.577,-0.48,0.48,0.00
0.577,-0.52,0.46,-0.02
0.579,-0.56,0.44,-0.05
0.582,-0.61,0.41,-0.08
0.585,-0.66,0.37,-0.11
0.587,-0.71,0.34,-0.14
0.589,-0.75,0.30,-0.16
0.592,-0.80,0.27,-0.18
0.594,-0.85,0.25,-0.20
0.598,-0.89,0.23,-0.21
0.601,-0.93,0.21,-0.23
0.602,-0.97,0.19,-0.23
0.604,-1.00,0.16,-0.24
0.607,-1.03,0.14,-0.25
0.610,-1.05,0.11,-0.24
0.614,-1.06,0.08,-0.25
0.615,-1.07,0.07,-0.24
0.618,-1.06,0.06,-0.24
0.619,-1.05,0.05,-0.25
0.622,-1.04,0.04,-0.25
0.626,-1.02,0.02,-0.25
0.627,-1.00,0.00,-0.25
0.629,-0.98,-0.01,-0.26
0.644,-0.96,-0.01,-0.26
0.645,-0.94,-0.01,-0.27
0.646,-0.91,0.00,-0.27
0.647,-0.89,0.02,-0.28
0.647,-0.87,0.06,-0.29
0.648,-0.85,0.09,-0.30
0.649,-0.82,0.12,-0.30
0.650,-0.80,0.15,-0.30
0.675,-0.77,0.17,-0.30
0.676,-0.74,0.19,-0.29
0.677,-0.71,0.21,-0.28
0.677,-0.68,0.23,-0.27
0.678,-0.64,0.26,-0.26
0.678,-0.59,0.28,-0.25
0.678,-0.55,0.31,-0.24
0.679,-0.51,0.33,-0.23
0.679,-0.46,0.33,-0.23
0.679,-0.41,0.34,-0.23
0.680,-0.37,0.34,-0.23
0.680,-0.33,0.35,-0.24
0.682,-0.29,0.36,-0.25
0.684,-0.25,0.38,-0.26
0.687,-0.23,0.40,-0.27
0.690,-0.20,0.41,-0.28
0.692,-0.17,0.42,-0.29
0.694,-0.15,0.42,-0.30
0.700,-0.14,0.43,-0.32
0.701,-0.12,0.44,-0.33
0.702,-0.11,0.46,-0.34
0.704,-0.10,0.47,-0.35
0.707,-0.09,0.47,-0.36
0.709,-0.08,0.47,-0.37
0.712,-0.07,0.46,-0.39
0.716,-0.06,0.46,-0.41
0.717,-0.05,0.46,-0.43
0.719,-0.05,0.47,-0.45
0.722,-0.05,0.47,-0.49
0.724,-0.05,0.47,-0.53
0.727,-0.06,0.46,-0.58
0.729,-0.07,0.45,-0.64
0.732,-0.08,0.44,-0.72
0.735,-0.09,0.42,-0.81
0.737,-0.10,0.42,-0.91
0.739,-0.10,0.42,-1.02
0.742,-0.09,0.43,-1.13
0.745,-0.09,0.46,-1.24
0.748,-0.09,0.50,-1.35
0.749,-0.09,0.53,-1.46
0.752,-0.08,0.55,-1.56
0.754,-0.08,0.56,-1.66
0.757,-0.08,0.56,-1.76
0.759,-0.09,0.54,-1.85
0.762,-0.10,0.51,-1.93
0.779,-0.11,0.47,-2.01
0.780,-0.13,0.43,-2.08
0.781,-0.14,0.38,-2.14
0.782,-0.15,0.33,-2.21
0.783,-0.15,0.28,-2.27
0.784,-0.15,0.22,-2.33
0.784,-0.15,0.16,-2.39
0.785,-0.13,0.10,-2.45
0.786,-0.11,0.03,-2.52
0.787,-0.08,-0.04,-2.58
0.807,-0.04,-0.13,-2.65
0.808,0.00,-0.22,-2.72
0.808,0.06,-0.31,-2.78
0.809,0.11,-0.42,-2.85
0.809,0.17,-0.53,-2.91
0.809,0.23,-0.65,-2.96
0.810,0.29,-0.78,-3.02
0.810,0.34,-0.91,-3.06
0.810,0.40,-1.06,-3.11
0.811,0.44,-1.20,-3.15
0.816,0.49,-1.35,-3.18
0.817,0.52,-1.51,-3.20
0.819,0.56,-1.70,-3.22
0.822,0.60,-1.98,-3.21
0.824,0.63,-2.45,-3.17
0.827,0.66,-2.82,-3.11
0.831,0.70,-2.94,-3.05
0.834,0.73,-2.90,-3.01
0.835,0.77,-2.82,-2.98
0.837,0.80,-2.78,-2.98
0.839,0.81,-2.78,-2.99
0.842,0.81,-2.80,-3.01
0.844,0.81,-2.82,-3.02
0.847,0.80,-2.82,-3.02
0.849,0.78,-2.80,-3.02
0.852,0.76,-2.76,-3.02
0.854,0.72,-2.69,-3.02
0.857,0.68,-2.62,-3.02
0.859,0.64,-2.54,-3.02
0.861,0.59,-2.45,-3.02
0.864,0.54,-2.35,-3.02
0.873,0.48,-2.26,-3.03
0.874,0.41,-2.17,-3.04
0.875,0.33,-2.11,-3.04
0.876,0.24,-2.07,-3.06
0.877,0.15,-2.07,-3.07
0.887,0.06,-2.08,-3.09
0.887,-0.04,-2.07,-3.11
0.887,-0.14,-2.04,-3.14
0.887,-0.24,-1.98,-3.17
0.889,-0.34,-1.84,-3.21
0.891,-0.44,-1.61,-3.27
0.894,-0.56,-1.35,-3.32
0.898,-0.68,-1.12,-3.39
0.899,-0.81,-0.95,-3.45
0.902,-0.93,-0.84,-3.50
0.904,-1.04,-0.76,-3.54
0.907,-1.13,-0.72,-3.57
0.909,-1.22,-0.69,-3.59
0.912,-1.30,-0.67,-3.60
0.914,-1.39,-0.66,-3.61
0.916,-1.46,-0.65,-3.61
0.919,-1.54,-0.64,-3.61
0.921,-1.61,-0.64,-3.61
0.924,-1.69,-0.64,-3.60
0.926,-1.75,-0.61,-3.58
0.929,-1.82,-0.57,-3.55
0.932,-1.87,-0.51,-3.52
0.934,-1.92,-0.45,-3.49
0.937,-1.96,-0.38,-3.45
0.939,-1.99,-0.32,-3.41
0.941,-2.02,-0.25,-3.37
0.944,-2.03,-0.19,-3.32
0.946,-2.04,-0.14,-3.27
0.949,-2.04,-0.09,-3.22
0.952,-2.04,-0.04,-3.17
0.959,-2.03,-0.00,-3.11
0.960,-2.02,0.03,-3.05
0.961,-2.01,0.06,-2.99
0.962,-1.98,0.08,-2.94
0.970,-1.95,0.09,-2.87
0.971,-1.91,0.08,-2.82
0.972,-1.87,0.06,-2.76
0.973,-1.83,0.01,-2.70
0.975,-1.78,-0.05,-2.66
0.976,-1.73,-0.13,-2.62
0.979,-1.68,-0.22,-2.58
0.987,-1.63,-0.33,-2.55
0.988,-1.59,-0.45,-2.52
0.988,-1.55,-0.57,-2.49
0.989,-1.51,-0.69,-2.47
0.992,-1.48,-0.81,-2.46
0.994,-1.46,-0.93,-2.45
0.996,-1.44,-1.05,-2.45
0.999,-1.42,-1.14,-2.44
1.002,-1.42,-1.23,-2.44
1.004,-1.42,-1.31,-2.44
1.007,-1.43,-1.36,-2.44
1.009,-1.45,-1.40,-2.44
1.012,-1.47,-1.42,-2.43
1.014,-1.50,-1.42,-2.42
1.017,-1.54,-1.41,-2.41
1.020,-1.58,-1.38,-2.39
1.022,-1.62,-1.33,-2.37
1.024,-1.68,-1.28,-2.34
1.026,-1.73,-1.22,-2.30
1.029,-1.78,-1.16,-2.26
1.032,-1.83,-1.10,-2.21
1.034,-1.88,-1.03,-2.15
1.036,-1.93,-0.96,-2.08
1.039,-1.96,-0.89,-2.01
1.041,-1.99,-0.82,-1.93
1.044,-2.02,-0.75,-1.84
1.046,-2.03,-0.69,-1.75
1.049,-2.04,-0.63,-1.66
1.051,-2.05,-0.59,-1.57
1.060,-2.04,-0.55,-1.48
1.061,-2.04,-0.53,-1.40
1.062,-2.03,-0.52,-1.31
1.063,-2.02,-0.53,-1.23
1.064,-2.01,-0.55,-1.15
1.071,-2.01,-0.59,-1.09
1.073,-1.99,-0.63,-1.04
1.074,-1.98,-0.67,-1.00
1.075,-1.97,-0.72,-0.98
