time,ax,ay,az,aT
0.0270,0.8300,0.3510,0.2230,0.928
0.0270,0.9250,0.0890,-0.1780,0.946
0.0280,0.9020,-0.0500,-0.3270,0.961
0.0280,0.9540,-0.1630,-0.4330,1.060
0.0370,1.0230,-0.2980,-0.4150,1.143
0.0500,1.0720,-0.4410,-0.2930,1.196
0.0570,1.1010,-0.3920,-0.0660,1.171
0.0670,1.2190,-0.2430,0.1110,1.248
0.0860,1.4090,-0.4120,-0.2530,1.490
0.0870,1.5370,-0.7560,-0.4830,1.780
0.0960,1.3800,-0.9990,-0.3050,1.731
0.1080,1.0130,-1.1080,0.2260,1.518
0.1170,0.5610,-0.9490,0.9390,1.448
0.1260,0.5500,-0.5830,1.2910,1.520
0.1390,0.3790,-0.0610,1.5450,1.592
0.1510,0.0720,0.4880,1.8220,1.888
0.1580,-0.0940,0.5770,2.1090,2.189
0.1670,-0.4450,0.3290,2.1300,2.201
0.1780,-0.9990,-0.1500,2.0190,2.258
0.1860,-1.5120,-0.5820,1.7800,2.407
0.1970,-1.5320,-0.9910,1.2140,2.192
0.2090,-1.3190,-1.3330,0.5910,1.966
0.2170,-1.2380,-1.5270,0.0960,1.968
0.2260,-1.0600,-1.7150,-0.1660,2.023
0.2360,-0.8100,-1.9270,-0.5430,2.160
0.2500,-0.8010,-2.0910,-0.9080,2.416
0.2580,-0.9060,-1.9960,-1.1050,2.455
0.2670,-0.8150,-2.0060,-1.0030,2.386
0.2840,-0.8700,-1.5560,-0.5290,1.860
0.2880,-1.0690,-1.1340,-0.0260,1.559
0.2960,-0.8360,-0.8630,0.0540,1.203
0.3090,-0.5990,-0.8390,-0.1290,1.039
0.3160,-0.7580,-0.7290,-0.2700,1.086
0.3270,-0.8770,-0.7920,-0.4290,1.257
0.3370,-1.0300,-0.8790,-0.6460,1.500
0.3460,-1.1640,-0.6590,-0.8800,1.601
0.3560,-1.3040,-0.2590,-0.7840,1.543
0.3730,-1.2470,0.0010,-0.4630,1.330
0.3760,-1.1150,-0.0240,-0.0980,1.120
0.3880,-1.1710,-0.2880,0.0780,1.208
0.4000,-1.2820,-0.3640,-0.1480,1.341
0.4070,-1.3300,-0.4920,-0.6250,1.550
0.4260,-1.2210,-0.6150,-0.9840,1.684
0.4270,-0.8770,-0.5950,-1.0710,1.507
0.4650,-0.6320,-0.5870,-0.6050,1.054
0.4650,-0.4800,-0.4400,-0.3540,0.741
0.4660,-0.3120,-0.3010,-0.2170,0.485
0.4660,-0.1090,-0.2290,0.0010,0.254
0.4810,0.1580,-0.3350,0.1760,0.410
0.4870,0.3710,-0.4750,0.1670,0.625
0.5050,0.3820,-0.4430,0.2220,0.626
0.5060,0.2760,-0.3060,0.1890,0.453
0.5220,0.0930,0.0100,-0.0890,0.129
0.5330,0.0200,0.2110,-0.3150,0.380
0.5360,0.0670,0.1900,-0.3710,0.422
0.5680,0.1170,0.2290,-0.5200,0.580
0.5680,0.1010,0.2270,-0.6490,0.695
0.5680,0.1970,0.2870,-0.6060,0.699
0.5800,0.4420,0.2740,-0.4590,0.694
0.5880,0.6180,0.3030,-0.5740,0.896
0.6060,0.6400,0.7470,-0.5800,1.142
0.6060,0.7900,0.8550,-0.5450,1.285
0.6160,0.5310,0.9530,0.0220,1.091
0.6260,0.9940,0.0630,-0.8110,1.284
0.6370,0.4050,0.0410,-0.9710,1.053
0.6470,0.5090,-0.8340,-0.5750,1.134
0.6670,0.3920,-0.0760,-0.4230,0.582
0.6670,0.4400,0.3420,-0.5170,0.760
0.6820,1.0190,-1.4320,0.0380,1.758
0.6880,0.9500,-1.9340,0.2690,2.171
0.6960,0.0890,-0.4500,-0.4400,0.636
0.7060,-0.1250,-0.3970,-0.0080,0.416
0.7150,-0.2700,-0.3460,0.8370,0.945
0.7250,-0.4340,0.4230,1.2390,1.379
0.7350,0.1080,1.3970,0.5270,1.497
0.7460,0.6820,2.2410,-0.0310,2.343
0.7560,-0.6790,2.3660,0.8310,2.598
0.7650,-0.9150,1.7930,0.5140,2.078
0.7780,-0.2690,1.4620,-0.6730,1.632
0.7860,-1.7240,2.7810,-1.1100,3.455
0.7960,-5.7010,5.1750,2.0280,7.962
0.8080,-5.1840,3.1810,0.1410,6.084
0.8150,-8.2630,5.2900,-2.9650,10.250
0.8250,-4.8700,5.9580,-2.8760,8.215
0.8350,0.6620,5.3520,-3.0540,6.198
0.8450,2.5490,4.8900,-3.8790,6.742
0.8570,3.7440,4.0100,-4.5570,7.132
0.8660,4.5570,3.1290,-2.4190,6.034
0.8770,3.4250,1.7550,-0.4620,3.876
0.8880,4.1500,-0.0720,-1.6930,4.483
0.8960,2.2650,0.0080,0.8690,2.426
0.9060,-1.0510,0.6980,3.5860,3.801
0.9160,-2.7700,0.3580,3.4880,4.468
0.9250,-3.5260,-1.5210,1.4420,4.102
0.9370,-3.3550,-1.8710,-0.1250,3.843
0.9460,-0.4720,-0.6380,1.6850,1.863
0.9640,-0.0450,-0.6750,-0.1850,0.701
0.9650,0.7570,-0.3530,-1.1070,1.387
0.9770,1.3270,-0.1050,-1.2640,1.836
0.9860,1.7450,0.4290,-1.3340,2.238
0.9960,1.9980,0.9310,-1.1620,2.492
1.0070,1.8730,1.2500,-1.2340,2.568
1.0160,1.4370,1.2850,-1.5440,2.470
1.0260,0.8510,0.8800,-1.8480,2.217
1.0360,-0.0450,0.2560,-2.0320,2.049
1.0460,-0.8730,-0.2970,-1.8650,2.081
1.0700,-1.2820,-0.5100,-1.5460,2.072
1.0700,-1.2630,-0.4200,-1.1570,1.764
1.0760,-0.9040,-0.3290,-1.0850,1.450
1.0850,-0.4700,-0.2720,-1.3300,1.437
1.0960,-0.1240,-0.2940,-1.6980,1.728
1.1070,0.0580,-0.3110,-2.2180,2.240
1.1160,0.0310,-0.2730,-2.7270,2.741
1.1260,-0.2700,-0.3190,-3.1580,3.186
1.1350,-0.5650,-0.4230,-3.4570,3.528
1.1450,-0.5990,-0.5720,-3.6880,3.780
1.1640,-0.4800,-0.8320,-3.7960,3.916
1.1650,-0.2920,-1.0760,-3.6890,3.854
1.1760,-0.1280,-1.2840,-3.5750,3.801
1.1850,-0.0880,-1.3650,-3.5960,3.847
1.1960,0.0120,-1.3290,-3.6960,3.928
1.2060,-0.0470,-1.4430,-3.9270,4.184
1.2160,-0.3260,-1.8140,-4.2080,4.594
1.2250,-0.6950,-2.3640,-4.5000,5.130
1.2370,-0.8760,-3.0290,-4.5180,5.509
1.2450,-0.9200,-3.7080,-4.5020,5.905
1.2620,-1.0000,-4.5310,-4.5240,6.480
1.2640,-0.5440,-5.3170,-4.8970,7.249
1.2760,-0.3350,-6.1920,-5.4630,8.264
1.2890,-0.3000,-7.0450,-6.2360,9.413
1.2950,-1.1840,-7.4740,-6.9190,10.254
1.3060,-1.8020,-7.9090,-6.8910,10.644
1.3160,-1.2510,-8.6900,-5.6930,10.464
1.3260,0.2320,-9.2860,-3.8750,10.065
1.3360,1.6970,-9.7760,-1.8450,10.092
1.3450,3.3410,-9.2630,0.3620,9.854
1.3600,3.9860,-8.7190,2.3040,9.860
1.3650,4.1960,-8.7140,3.2850,10.214
1.3760,4.1040,-8.8440,3.2240,10.269
1.3890,3.6620,-8.9820,2.7170,10.073
1.3950,3.8430,-9.0810,2.4710,10.166
1.4050,4.0650,-9.3230,3.0510,10.618
1.4160,4.0010,-9.5480,4.3130,11.215
1.4260,5.4050,-11.0630,5.4540,13.467
1.4460,8.2080,-14.4230,5.0920,17.359
1.4470,3.5150,-12.8600,5.4250,14.393
1.4550,0.1950,-11.2640,7.0970,13.315
1.4650,-2.8870,-10.8490,10.1820,15.156
1.4770,-2.6240,-11.0970,13.3210,17.535
1.4850,-1.3880,-12.2420,15.5650,19.851
1.5030,-1.0170,-11.6980,17.0600,20.710
1.5090,-2.0870,-9.1350,17.1260,19.522
1.5160,-2.6960,-6.7890,15.9360,17.530
1.5320,-2.7860,-5.1620,14.2570,15.417
1.5350,-3.1000,-3.9610,12.6000,13.567
1.5520,-3.9320,-2.6670,11.1330,12.104
1.5790,-4.5780,-1.1290,9.7560,10.836
1.5800,-4.6960,0.4170,8.5970,9.805
1.5800,-4.1820,1.7100,7.5180,8.771
1.5890,-3.2280,2.6770,6.5370,7.767
1.5950,-2.3040,3.2430,5.6410,6.903
1.6050,-1.8210,3.3390,4.9290,6.226
1.6170,-2.3560,3.5000,4.2780,6.008
1.6260,-3.6480,4.3130,4.1750,7.024
1.6370,-5.5980,5.3500,4.3650,8.889
1.6460,-7.4020,6.5890,4.6900,10.964
1.6730,-8.6600,8.1500,5.3010,13.020
1.6730,-9.3380,9.6910,6.2300,14.830
1.6750,-9.7960,10.9730,7.3970,16.465
1.6860,-10.1450,11.7650,8.7640,17.837
1.6970,-10.7600,12.0860,10.3780,19.224
1.7050,-11.3840,11.7970,12.5810,20.665
1.7180,-11.5750,10.3570,14.7160,21.396
1.7310,-11.9830,7.9960,16.9460,22.242
1.7400,-12.8130,5.5900,19.4420,23.946
1.7490,-12.9580,3.4670,21.7180,25.526
1.7630,-11.6650,1.0880,23.5620,26.314
1.7830,-8.4690,-1.8720,24.9140,26.381
1.7840,-4.6390,-4.8950,25.9580,26.820
1.7850,-0.8530,-7.5180,26.4970,27.556
1.8000,2.3030,-10.4860,26.4320,28.529
1.8180,4.9410,-13.1250,26.0340,29.571
