time,wx,wy,wz
0.026,-0.05,-0.28,0.05
0.027,-0.04,-0.29,0.06
0.028,-0.02,-0.29,0.06
0.028,0.00,-0.30,0.06
0.029,0.02,-0.31,0.07
0.029,0.05,-0.32,0.08
0.030,0.08,-0.33,0.08
0.030,0.11,-0.34,0.09
0.031,0.14,-0.35,0.10
0.032,0.17,-0.36,0.10
0.032,0.20,-0.37,0.11
0.033,0.23,-0.38,0.11
0.033,0.26,-0.39,0.12
0.033,0.30,-0.39,0.13
0.033,0.33,-0.40,0.13
0.034,0.37,-0.40,0.14
0.034,0.41,-0.40,0.15
0.034,0.45,-0.40,0.15
0.034,0.49,-0.39,0.17
0.039,0.53,-0.38,0.17
0.040,0.57,-0.36,0.18
0.043,0.62,-0.33,0.19
0.054,0.66,-0.30,0.20
0.055,0.70,-0.26,0.22
0.055,0.75,-0.22,0.22
0.055,0.79,-0.17,0.24
0.056,0.83,-0.12,0.25
0.056,0.88,-0.07,0.26
0.059,0.91,-0.02,0.27
0.062,0.96,0.04,0.28
0.064,0.99,0.09,0.30
0.066,1.03,0.15,0.31
0.069,1.07,0.21,0.32
0.071,1.11,0.27,0.34
0.087,1.14,0.35,0.35
0.088,1.18,0.42,0.37
0.088,1.22,0.49,0.38
0.089,1.25,0.56,0.40
0.089,1.29,0.63,0.41
0.089,1.32,0.70,0.43
0.089,1.36,0.76,0.45
0.091,1.40,0.82,0.46
0.094,1.43,0.87,0.48
0.097,1.46,0.92,0.50
0.099,1.49,0.97,0.51
0.101,1.52,1.00,0.53
0.109,1.55,1.03,0.54
0.110,1.58,1.05,0.55
0.110,1.61,1.05,0.56
0.111,1.63,1.05,0.57
0.114,1.66,1.03,0.57
0.117,1.68,1.01,0.58
0.119,1.69,0.97,0.57
0.132,1.71,0.92,0.57
0.133,1.72,0.86,0.56
0.133,1.72,0.79,0.56
0.133,1.73,0.72,0.55
0.133,1.73,0.65,0.54
0.134,1.73,0.56,0.53
0.137,1.72,0.48,0.53
0.139,1.71,0.40,0.51
0.141,1.69,0.31,0.51
0.144,1.68,0.24,0.50
0.146,1.66,0.17,0.50
0.150,1.64,0.11,0.49
0.151,1.63,0.06,0.49
0.156,1.61,0.02,0.48
0.157,1.59,-0.01,0.49
0.159,1.58,-0.02,0.49
0.162,1.57,-0.02,0.49
0.164,1.56,0.00,0.49
0.166,1.56,0.04,0.50
0.169,1.56,0.09,0.50
0.171,1.57,0.16,0.50
0.174,1.58,0.23,0.51
0.176,1.58,0.30,0.52
0.179,1.59,0.37,0.54
0.182,1.60,0.44,0.55
0.184,1.61,0.51,0.56
0.186,1.61,0.59,0.58
0.190,1.62,0.67,0.59
0.191,1.63,0.74,0.61
0.194,1.64,0.82,0.63
0.197,1.65,0.89,0.64
0.199,1.67,0.97,0.65
0.201,1.68,1.03,0.66
0.205,1.70,1.09,0.68
0.207,1.72,1.14,0.69
0.209,1.73,1.18,0.70
0.211,1.75,1.21,0.71
0.214,1.77,1.23,0.72
0.217,1.78,1.25,0.73
0.219,1.80,1.26,0.74
0.233,1.81,1.26,0.75
0.234,1.82,1.25,0.75
0.234,1.84,1.23,0.75
0.235,1.84,1.21,0.75
0.235,1.85,1.18,0.75
0.235,1.85,1.15,0.75
0.236,1.86,1.11,0.75
0.239,1.86,1.07,0.75
0.241,1.86,1.03,0.75
0.244,1.86,0.98,0.74
0.246,1.85,0.94,0.74
0.249,1.85,0.89,0.74
0.251,1.84,0.84,0.74
0.254,1.83,0.79,0.74
0.257,1.82,0.74,0.75
0.260,1.80,0.69,0.76
0.262,1.79,0.65,0.76
0.264,1.77,0.61,0.77
0.266,1.76,0.57,0.76
0.269,1.74,0.53,0.76
0.272,1.73,0.49,0.76
0.274,1.72,0.45,0.75
0.276,1.70,0.42,0.75
0.279,1.69,0.39,0.73
0.281,1.67,0.35,0.73
0.284,1.66,0.32,0.72
0.286,1.64,0.28,0.71
0.290,1.62,0.25,0.70
0.291,1.60,0.22,0.68
0.294,1.58,0.19,0.67
0.296,1.56,0.16,0.66
0.299,1.54,0.14,0.66
0.301,1.51,0.12,0.64
0.304,1.49,0.10,0.64
0.307,1.46,0.09,0.62
0.309,1.43,0.08,0.61
0.311,1.40,0.07,0.61
0.314,1.37,0.07,0.59
0.316,1.34,0.07,0.58
0.318,1.30,0.08,0.57
0.321,1.27,0.09,0.55
0.333,1.23,0.10,0.54
0.334,1.20,0.11,0.53
0.335,1.16,0.12,0.52
0.335,1.13,0.14,0.51
0.335,1.09,0.16,0.50
0.336,1.05,0.18,0.49
0.339,1.02,0.20,0.48
0.341,0.98,0.22,0.47
0.344,0.94,0.24,0.46
0.347,0.90,0.27,0.45
0.348,0.86,0.29,0.44
0.351,0.82,0.32,0.43
0.353,0.79,0.34,0.42
0.370,0.75,0.36,0.41
0.371,0.72,0.38,0.41
0.371,0.70,0.39,0.40
0.371,0.67,0.39,0.40
0.372,0.65,0.40,0.39
0.372,0.64,0.40,0.38
0.373,0.63,0.40,0.38
0.374,0.62,0.39,0.38
0.376,0.62,0.39,0.38
0.379,0.61,0.37,0.38
0.381,0.61,0.36,0.39
0.384,0.61,0.34,0.39
0.388,0.61,0.32,0.39
0.389,0.61,0.31,0.40
0.391,0.62,0.29,0.41
0.394,0.62,0.27,0.41
0.396,0.62,0.24,0.41
0.399,0.62,0.21,0.41
0.401,0.62,0.17,0.42
0.404,0.61,0.14,0.42
0.406,0.61,0.09,0.42
0.409,0.60,0.04,0.41
0.413,0.58,-0.01,0.40
0.414,0.57,-0.06,0.39
0.416,0.55,-0.12,0.38
0.419,0.53,-0.18,0.37
0.425,0.51,-0.24,0.35
0.425,0.49,-0.30,0.33
0.426,0.46,-0.36,0.31
0.429,0.44,-0.42,0.29
0.431,0.41,-0.47,0.27
0.433,0.38,-0.53,0.24
0.436,0.36,-0.58,0.22
0.450,0.34,-0.63,0.21
0.451,0.31,-0.68,0.19
0.451,0.28,-0.72,0.17
0.451,0.25,-0.76,0.16
0.452,0.23,-0.80,0.15
0.452,0.20,-0.83,0.15
0.454,0.18,-0.85,0.15
0.456,0.15,-0.88,0.15
0.458,0.13,-0.89,0.16
0.461,0.11,-0.89,0.17
0.465,0.08,-0.90,0.18
0.466,0.06,-0.90,0.19
0.469,0.05,-0.90,0.20
0.471,0.03,-0.90,0.22
0.473,0.01,-0.90,0.24
0.476,-0.00,-0.89,0.26
0.479,-0.02,-0.89,0.27
0.481,-0.03,-0.90,0.29
0.483,-0.05,-0.91,0.30
0.486,-0.06,-0.92,0.31
0.489,-0.07,-0.94,0.33
0.491,-0.07,-0.97,0.34
0.494,-0.08,-1.00,0.34
0.496,-0.09,-1.03,0.35
0.498,-0.09,-1.05,0.37
0.502,-0.10,-1.07,0.36
0.504,-0.11,-1.09,0.37
0.507,-0.12,-1.11,0.37
0.509,-0.13,-1.13,0.38
0.515,-0.15,-1.15,0.38
0.516,-0.17,-1.17,0.38
0.517,-0.19,-1.19,0.38
0.519,-0.21,-1.21,0.39
0.537,-0.24,-1.23,0.40
0.538,-0.26,-1.25,0.40
0.539,-0.29,-1.29,0.41
0.539,-0.32,-1.33,0.41
0.539,-0.34,-1.37,0.42
0.540,-0.37,-1.39,0.42
0.540,-0.39,-1.40,0.41
0.541,-0.42,-1.42,0.40
0.543,-0.46,-1.43,0.39
0.544,-0.49,-1.45,0.38
0.547,-0.52,-1.47,0.37
0.549,-0.56,-1.49,0.35
0.551,-0.60,-1.51,0.35
0.553,-0.63,-1.52,0.36
0.568,-0.67,-1.54,0.36
0.569,-0.71,-1.55,0.38
0.569,-0.75,-1.56,0.41
0.569,-0.79,-1.57,0.44
0.569,-0.83,-1.59,0.48
0.569,-0.87,-1.60,0.53
0.572,-0.92,-1.62,0.59
0.573,-0.96,-1.64,0.65
0.576,-1.02,-1.68,0.71
0.579,-1.08,-1.72,0.77
0.581,-1.14,-1.77,0.83
0.583,-1.21,-1.82,0.90
0.586,-1.28,-1.88,0.96
0.590,-1.35,-1.93,1.02
0.591,-1.42,-1.98,1.08
0.594,-1.50,-2.02,1.14
0.596,-1.56,-2.06,1.20
0.598,-1.63,-2.09,1.25
0.601,-1.69,-2.10,1.31
0.604,-1.75,-2.10,1.36
0.606,-1.80,-2.10,1.42
0.611,-1.86,-2.07,1.47
0.614,-1.91,-2.01,1.52
0.614,-1.96,-1.89,1.58
0.617,-2.01,-1.74,1.63
0.618,-2.06,-1.55,1.68
0.621,-2.11,-1.37,1.72
0.634,-2.15,-1.22,1.76
