time,ax,ay,az,aT
0.0240,0.9280,1.4340,1.2520,2.118
0.0250,0.9950,1.2750,0.0220,1.617
0.0250,0.8120,1.1630,-0.5740,1.530
0.0330,0.3570,1.1790,-0.8540,1.499
0.0400,-0.6680,1.3010,-0.5700,1.570
0.0480,-1.4960,1.3060,-0.6390,2.086
0.0580,-1.8440,1.2390,-0.5120,2.280
0.0690,-2.1080,1.2010,-0.1680,2.432
0.0790,-2.2860,1.2450,-0.3270,2.623
0.0880,-2.2000,0.9750,-1.3070,2.738
0.1140,-1.8640,0.9040,-1.3430,2.469
0.1150,-1.1580,0.8660,-1.0730,1.801
0.1190,-0.5160,0.8270,-0.9210,1.341
0.1290,-0.4780,0.8090,-0.4950,1.062
0.1380,-0.7350,0.3410,0.0050,0.810
0.1490,-1.1980,-0.6020,0.1480,1.349
0.1590,-1.6210,-0.8380,-0.2030,1.836
0.1700,-2.2600,-0.3440,0.2060,2.295
0.1780,-2.8560,0.2270,0.7340,2.958
0.1880,-3.0720,0.4170,0.8710,3.220
0.1990,-2.7370,0.4190,0.7100,2.858
0.2130,-2.2630,0.3310,0.6100,2.367
0.2190,-1.8570,0.3940,0.5960,1.990
0.2280,-1.4380,0.4750,0.5130,1.599
0.2390,-0.8160,0.2870,0.0290,0.865
0.2480,-0.4290,-0.1360,-0.4920,0.667
0.2580,-0.4080,-0.5150,-0.6590,0.931
0.2680,-0.4770,-0.7330,-0.8810,1.241
0.2780,-0.5890,-0.8300,-1.1140,1.509
0.2890,-0.4690,-0.8300,-1.0650,1.429
0.2990,-0.1690,-0.5420,-0.9960,1.146
0.3120,0.1930,-0.4570,-1.1260,1.230
0.3190,0.4570,-0.6870,-1.4350,1.655
0.3280,0.5710,-0.6990,-1.7380,1.958
0.3390,0.6950,-0.7000,-1.7400,2.000
0.3490,0.8870,-0.5690,-1.5820,1.901
0.3590,0.8370,-0.3660,-1.5080,1.763
0.3680,0.2090,0.5040,-1.1190,1.245
0.3780,1.2030,0.1380,-1.2840,1.765
0.3960,1.3880,0.3100,-1.5150,2.078
0.3990,1.1560,0.2650,-1.5230,1.930
0.4130,1.1400,0.3220,-1.4150,1.845
0.4190,1.2010,0.5590,-1.3200,1.870
0.4280,1.1050,0.7760,-1.3310,1.896
0.4390,1.2540,0.5960,-0.9690,1.693
0.4480,1.2260,0.6400,-0.3210,1.420
0.4590,0.6200,0.7250,-0.3510,1.016
0.4690,-0.0380,0.9270,-0.4130,1.016
0.4790,-0.0120,1.6390,-0.6120,1.750
0.4940,-0.0800,1.9970,-0.6850,2.113
0.5010,-0.1540,2.2230,-0.7550,2.353
0.5090,0.1140,2.1640,-0.9960,2.385
0.5180,0.1810,1.7940,-0.7010,1.935
0.5280,0.2190,1.3570,-0.2420,1.396
0.5390,0.4210,0.7100,0.4740,0.952
0.5510,0.3440,0.0810,0.7590,0.837
0.5580,0.3180,-0.0900,0.9530,1.009
0.5680,0.2530,0.0530,1.4960,1.518
0.5790,0.2070,0.3620,1.6470,1.699
0.5880,0.3510,0.5350,1.3350,1.480
0.5980,0.8530,0.5160,0.7700,1.260
0.6120,1.0890,0.3010,0.3610,1.186
0.6180,1.0810,0.0620,0.3540,1.139
0.6280,0.8010,-0.1450,0.5130,0.962
0.6390,0.0310,-0.2240,0.6320,0.671
0.6490,-1.0890,-0.3100,1.0410,1.538
0.6590,-1.8650,-0.4660,1.5290,2.456
0.6680,-2.0250,-0.5840,1.9660,2.882
0.6780,-2.0980,-0.6590,2.0860,3.031
0.6910,-1.6540,-0.6110,1.5410,2.342
0.6980,-0.5790,-0.4230,0.4690,0.857
0.7110,-0.1220,0.0600,-0.4220,0.443
0.7180,0.0300,0.3360,-0.9850,1.041
0.7280,0.6740,0.1190,-1.7170,1.848
0.7390,1.3440,-0.4670,-2.7630,3.108
0.7490,1.4340,-0.7510,-3.4400,3.802
0.7580,1.1900,-0.5410,-3.3790,3.623
0.7680,0.6810,-0.2710,-2.9330,3.023
0.7780,0.1270,-0.2810,-2.5830,2.601
0.7880,0.0990,-0.1620,-2.7010,2.708
0.7980,3.3310,-1.7670,-3.3890,5.070
0.8130,0.1080,-2.1030,-3.4900,4.076
0.8190,-2.2440,-0.5880,-2.4590,3.381
0.8280,-2.1800,0.0770,-2.0760,3.011
0.8380,-1.0210,-1.1460,-1.7510,2.328
0.8490,-0.5400,-2.5460,-1.9630,3.260
0.8580,1.3600,-1.9300,-0.7460,2.476
0.8690,-2.5350,-0.5630,-0.5510,2.655
0.8780,-5.5190,-0.2950,-0.7520,5.578
0.8880,-4.4340,-2.1290,-1.3040,5.089
0.8980,-4.5300,-2.6810,-2.0970,5.666
0.9080,-3.8560,-1.3800,-2.4000,4.747
0.9180,-2.9530,-0.5620,-2.5750,3.958
0.9280,-0.6190,-0.4310,-2.7410,2.843
0.9400,0.0820,-0.4250,-3.7200,3.745
