time,wx,wy,wz
0.439,-0.83,1.71,-1.72
0.440,-0.70,1.59,-1.65
0.443,-0.57,1.48,-1.59
0.445,-0.45,1.38,-1.54
0.447,-0.34,1.29,-1.51
0.450,-0.25,1.21,-1.48
0.467,-0.17,1.13,-1.46
0.468,-0.09,1.04,-1.44
0.468,-0.03,0.95,-1.43
0.469,0.03,0.86,-1.41
0.469,0.08,0.76,-1.40
0.470,0.13,0.67,-1.39
0.470,0.17,0.58,-1.38
0.473,0.21,0.50,-1.38
0.475,0.26,0.42,-1.38
0.475,0.29,0.36,-1.39
0.477,0.33,0.31,-1.41
0.482,0.36,0.26,-1.44
0.483,0.39,0.19,-1.47
0.492,0.42,0.12,-1.49
0.493,0.44,0.06,-1.50
0.493,0.46,0.00,-1.52
0.494,0.47,-0.05,-1.53
0.495,0.49,-0.11,-1.56
0.497,0.49,-0.16,-1.58
0.502,0.49,-0.22,-1.62
0.502,0.48,-0.27,-1.66
0.504,0.47,-0.32,-1.71
0.507,0.46,-0.38,-1.76
0.509,0.45,-0.43,-1.81
0.512,0.43,-0.48,-1.85
0.514,0.42,-0.52,-1.89
0.518,0.39,-0.57,-1.92
0.520,0.36,-0.60,-1.94
0.523,0.32,-0.65,-1.96
0.525,0.28,-0.72,-1.99
0.527,0.18,-0.87,-2.02
0.530,-0.04,-1.19,-2.10
0.534,-0.32,-1.52,-2.20
0.535,-0.58,-1.72,-2.29
0.539,-0.81,-1.82,-2.37
0.540,-0.99,-1.84,-2.43
0.543,-1.15,-1.85,-2.48
0.545,-1.27,-1.85,-2.53
0.548,-1.38,-1.85,-2.57
0.549,-1.47,-1.86,-2.61
0.553,-1.56,-1.88,-2.65
0.554,-1.63,-1.90,-2.67
0.557,-1.68,-1.93,-2.69
0.560,-1.70,-1.91,-2.69
0.562,-1.66,-1.84,-2.68
0.564,-1.61,-1.82,-2.66
0.568,-1.59,-1.86,-2.65
0.579,-1.56,-1.89,-2.64
0.579,-1.49,-1.86,-2.61
0.580,-1.40,-1.82,-2.61
0.580,-1.30,-1.81,-2.60
0.580,-1.20,-1.80,-2.60
0.582,-1.11,-1.82,-2.60
0.586,-1.02,-1.84,-2.59
0.587,-0.95,-1.89,-2.59
0.589,-0.91,-1.95,-2.58
0.592,-0.90,-2.03,-2.58
0.594,-0.92,-2.13,-2.55
0.597,-0.97,-2.21,-2.50
0.599,-0.96,-2.15,-2.44
0.602,-0.91,-2.04,-2.37
0.604,-0.89,-1.98,-2.28
0.607,-0.89,-1.94,-2.18
0.609,-0.89,-1.91,-2.09
0.612,-0.91,-1.89,-2.00
0.614,-0.91,-1.82,-1.90
0.618,-0.93,-1.76,-1.82
0.619,-1.05,-1.86,-1.75
0.622,-1.16,-1.89,-1.71
0.624,-1.30,-1.99,-1.67
0.628,-1.53,-2.16,-1.62
0.629,-1.75,-2.27,-1.56
0.632,-1.92,-2.34,-1.52
0.635,-2.08,-2.36,-1.47
0.637,-2.21,-2.36,-1.45
0.640,-2.33,-2.34,-1.44
0.642,-2.44,-2.30,-1.44
0.645,-2.53,-2.26,-1.46
0.647,-2.60,-2.20,-1.49
0.650,-2.66,-2.14,-1.52
0.652,-2.71,-2.09,-1.57
0.655,-2.75,-2.05,-1.63
0.657,-2.78,-2.01,-1.69
0.663,-2.80,-1.99,-1.76
0.664,-2.81,-1.99,-1.83
0.664,-2.81,-1.99,-1.89
0.671,-2.81,-2.00,-1.95
0.672,-2.79,-2.02,-2.01
0.672,-2.76,-2.05,-2.05
0.675,-2.72,-2.10,-2.09
0.679,-2.67,-2.15,-2.10
0.680,-2.60,-2.21,-2.11
0.682,-2.54,-2.27,-2.10
0.685,-2.46,-2.34,-2.08
0.687,-2.39,-2.40,-2.05
0.689,-2.32,-2.46,-2.02
0.692,-2.25,-2.51,-1.98
0.694,-2.19,-2.55,-1.94
0.697,-2.13,-2.58,-1.89
0.701,-2.07,-2.60,-1.84
0.704,-2.02,-2.61,-1.80
0.704,-1.98,-2.61,-1.76
0.707,-1.96,-2.61,-1.73
0.709,-1.93,-2.59,-1.70
0.712,-1.92,-2.57,-1.67
0.714,-1.92,-2.54,-1.65
0.718,-1.92,-2.49,-1.63
0.719,-1.94,-2.43,-1.62
0.722,-1.97,-2.35,-1.62
0.724,-2.01,-2.25,-1.61
0.728,-2.06,-2.14,-1.62
0.729,-2.11,-2.01,-1.62
0.732,-2.17,-1.87,-1.64
0.735,-2.23,-1.71,-1.66
0.737,-2.30,-1.55,-1.68
0.740,-2.38,-1.38,-1.72
0.742,-2.45,-1.21,-1.75
0.744,-2.52,-1.05,-1.79
0.747,-2.60,-0.88,-1.83
0.749,-2.67,-0.72,-1.87
0.754,-2.74,-0.56,-1.91
0.755,-2.80,-0.40,-1.95
0.757,-2.86,-0.22,-1.98
0.760,-2.91,-0.02,-2.02
0.762,-2.95,0.16,-2.05
0.764,-2.99,0.30,-2.07
0.779,-3.04,0.40,-2.10
0.780,-3.08,0.49,-2.11
0.780,-3.11,0.57,-2.13
0.781,-3.14,0.63,-2.13
0.781,-3.16,0.69,-2.13
0.782,-3.18,0.72,-2.13
0.783,-3.20,0.73,-2.12
0.785,-3.21,0.72,-2.11
0.788,-3.21,0.70,-2.09
0.790,-3.21,0.66,-2.07
0.792,-3.21,0.61,-2.05
0.795,-3.20,0.56,-2.02
0.798,-3.19,0.50,-1.99
0.800,-3.17,0.44,-1.95
0.804,-3.14,0.38,-1.92
0.805,-3.10,0.33,-1.88
0.807,-3.06,0.27,-1.85
0.809,-3.02,0.23,-1.82
0.812,-2.97,0.18,-1.79
0.814,-2.92,0.13,-1.76
0.818,-2.86,0.07,-1.73
0.819,-2.81,0.01,-1.72
0.822,-2.77,-0.05,-1.70
0.824,-2.72,-0.11,-1.69
0.827,-2.67,-0.18,-1.69
0.830,-2.62,-0.26,-1.68
0.835,-2.58,-0.34,-1.68
0.835,-2.53,-0.43,-1.69
0.839,-2.49,-0.53,-1.70
0.841,-2.44,-0.62,-1.71
0.842,-2.40,-0.72,-1.72
0.848,-2.35,-0.81,-1.74
0.849,-2.31,-0.89,-1.76
0.851,-2.26,-0.96,-1.79
0.854,-2.22,-1.02,-1.81
0.855,-2.18,-1.08,-1.84
0.857,-2.14,-1.12,-1.86
0.860,-2.10,-1.17,-1.88
0.862,-2.06,-1.20,-1.90
0.864,-2.02,-1.23,-1.91
0.871,-1.99,-1.26,-1.92
0.871,-1.95,-1.28,-1.92
0.872,-1.92,-1.30,-1.91
0.874,-1.88,-1.32,-1.90
0.877,-1.85,-1.34,-1.87
0.880,-1.81,-1.37,-1.84
0.883,-1.78,-1.40,-1.79
0.891,-1.73,-1.43,-1.75
0.892,-1.70,-1.46,-1.69
0.892,-1.66,-1.50,-1.63
0.893,-1.62,-1.53,-1.56
