time,wx,wy,wz
3.538,2.51,0.69,1.7
3.571,2.27,0.89,1.41
3.588,1.84,1.56,1.04
3.605,1.52,1.82,0.88
3.638,1.04,2.01,0.49
3.655,0.9,1.82,0.3
3.672,0.77,1.49,0.18
3.688,0.68,1.13,0.16
3.705,0.59,0.79,0.22
3.726,0.48,0.47,0.31
3.738,0.35,0.17,0.37
3.755,0.24,-0.08,0.35
3.771,0.17,-0.27,0.27
3.788,0.12,-0.37,0.15
3.805,0.09,-0.38,0.03
3.821,0.08,-0.31,-0.06
3.838,0.09,-0.19,-0.11
3.855,0.05,-0.1,-0.1
3.871,-0.01,-0.04,-0.08
3.888,-0.05,-0.03,-0.07
3.905,-0.06,-0.06,-0.05
3.921,-0.07,-0.13,-0.03
3.938,-0.11,-0.23,-0.03
3.955,-0.18,-0.34,-0.06
3.971,-0.26,-0.4,-0.11
3.988,-0.3,-0.39,-0.19
4.048,0.1,0.47,-0.32
4.058,0.21,0.6,-0.24
4.088,0.3,0.66,-0.1
4.105,0.38,0.67,0.1
4.121,0.46,0.65,0.34
4.138,0.5,0.57,0.59
4.155,0.53,0.43,0.81
4.171,0.53,0.25,1
4.189,0.49,-0.1,1.16
4.221,0.32,-0.21,0.97
4.238,0.26,-0.11,0.78
4.255,0.23,0.03,0.57
4.271,0.2,0.18,0.38
4.288,0.14,0.3,0.23
4.305,0.07,0.36,0.16
4.321,-0.02,0.38,0.15
4.338,-0.12,0.33,0.17
4.355,-0.25,0.21,0.19
4.371,-0.36,0.03,0.18
4.389,-0.42,-0.18,0.14
4.405,-0.41,-0.33,0.09
4.421,-0.36,-0.37,0.06
4.438,-0.24,-0.25,0.06
4.456,-0.08,0,0.09
4.471,0.07,0.27,0.09
4.488,0.12,0.35,0.04
4.505,0.02,0.2,-0.11
4.521,-0.14,-0.06,-0.31
4.538,-0.24,-0.3,-0.5
4.555,-0.29,-0.42,-0.63
4.571,-0.33,-0.4,-0.64
4.588,-0.36,-0.28,-0.56
4.605,-0.41,-0.11,-0.43
4.621,-0.45,0.05,-0.28
4.638,-0.44,0.17,-0.14
4.655,-0.41,0.24,-0.03
4.671,-0.34,0.28,0.05
4.688,-0.24,0.27,0.13
4.705,-0.14,0.25,0.22
4.721,-0.06,0.23,0.34
4.738,0.04,0.26,0.49
4.755,0.15,0.32,0.65
4.771,0.08,-0.04,0.78
