time,ax,ay,az,aT
0.0350,-0.0880,0.0620,1.2970,1.301
0.0350,0.0740,-0.2060,1.4740,1.490
0.0360,0.1330,-0.6240,1.4350,1.570
0.0360,0.1450,-1.2390,1.9750,2.336
0.0410,0.1490,-1.9450,2.7020,3.333
0.0530,-0.2060,-1.7590,1.8910,2.591
0.0610,-0.2580,-1.5340,2.1760,2.675
0.0790,-0.1850,-1.4330,1.9470,2.425
0.0800,-0.0230,-1.3320,1.2360,1.817
0.0910,-0.0930,-1.5360,0.9360,1.801
0.1030,-0.0520,-1.4520,0.8700,1.693
0.1110,0.3290,-1.3180,0.1380,1.365
0.1230,0.7740,-0.8480,-0.5450,1.271
0.1310,1.0250,-0.3210,-0.9770,1.452
0.1420,0.7520,0.0860,-0.7540,1.068
0.1530,0.4230,0.2350,-0.4300,0.647
0.1660,0.5990,0.1360,-0.5390,0.817
0.1720,0.6890,0.1600,-0.3900,0.808
0.1810,0.6150,0.0430,-0.2920,0.682
0.1910,0.6940,-0.1680,-0.6380,0.958
0.2010,0.5840,-0.2890,-0.5440,0.849
0.2110,0.4470,-0.4490,-0.5470,0.837
0.2220,0.3950,-0.6860,-1.0760,1.336
0.2310,-0.0970,-0.3730,-0.7620,0.854
0.2410,-7.7400,8.0860,1.8010,11.337
0.2530,-3.0550,6.0590,2.0360,7.084
0.2640,0.0900,0.5670,-3.4520,3.499
0.2720,0.8290,3.2060,-2.9090,4.408
0.2810,-0.5510,2.3390,-1.1160,2.650
0.2910,-1.4140,0.4510,0.7250,1.652
0.3030,-1.2560,-0.1390,0.3950,1.324
0.3110,-0.0960,-0.2540,-0.5060,0.574
0.3320,0.2530,-0.1680,-0.8170,0.872
0.3320,0.0060,-0.0140,-0.6840,0.684
0.3410,-0.1520,-0.0350,-0.8530,0.867
0.3510,-0.1090,0.0920,-0.7560,0.769
0.3660,0.1500,0.2170,-0.4050,0.483
0.3730,0.2690,0.4020,-0.3660,0.607
0.3810,0.2030,0.5480,-0.6100,0.845
0.3910,-0.2240,0.4660,-0.8290,0.977
0.4010,-0.6900,0.4570,-0.5890,1.016
0.4110,-1.0200,0.4720,-0.3390,1.174
0.4210,-1.0010,0.1840,-0.6550,1.210
0.4310,-0.4890,0.1730,-0.5850,0.782
0.4410,-0.1870,0.1370,-0.7350,0.771
0.4530,-0.1310,0.2150,-0.7760,0.816
0.4630,0.6290,0.3410,0.9010,1.151
0.4720,1.0830,0.2910,1.9650,2.262
0.4820,1.1750,0.3650,-0.0490,1.231
0.4910,1.7840,0.5720,-2.3450,3.001
0.5010,0.2220,0.6460,-2.3430,2.441
0.5110,-0.9290,0.5480,-2.0680,2.332
0.5220,-1.1640,0.2060,-1.8500,2.195
0.5310,-0.5830,-0.0130,-1.1160,1.259
0.5410,-0.3270,-0.0900,-0.2140,0.401
0.5520,-0.7110,-0.2350,0.4780,0.888
0.5630,-0.8310,-0.3230,1.0340,1.365
0.5720,-0.8160,-0.3310,1.2580,1.536
0.5820,-0.5980,-0.3160,1.2360,1.409
0.5910,-0.3770,-0.1900,1.4890,1.548
0.6010,-0.2780,0.0870,1.8520,1.875
0.6120,-0.1900,0.2450,2.0390,2.062
0.6220,-0.1280,0.2650,1.8570,1.880
0.6320,-0.2470,0.2610,1.3080,1.356
0.6410,-0.4080,0.3750,0.5570,0.786
0.6510,-0.6030,0.4830,-0.2470,0.811
0.6630,-0.7980,0.5650,-0.9550,1.367
0.6710,-0.8670,0.6750,-1.5830,1.927
0.6810,-0.8640,0.6580,-2.1110,2.374
0.6910,-0.8210,0.6290,-2.3690,2.585
0.7010,-0.8500,0.6820,-2.4140,2.649
0.7110,-1.0210,0.6590,-2.5020,2.781
0.7210,-1.1210,0.5070,-2.5980,2.875
0.7310,-1.1150,0.2390,-2.7310,2.960
0.7410,-1.3790,0.2070,-3.0090,3.316
0.7520,-1.7370,0.1640,-3.3290,3.758
0.7640,-2.1080,0.1870,-3.8760,4.416
0.7720,-1.9870,0.0260,-4.4970,4.916
0.7810,-1.5080,0.1420,-4.8980,5.127
0.7910,-0.8920,0.5210,-5.0310,5.136
0.8010,-0.1000,0.6490,-4.4790,4.527
0.8120,0.0650,0.3590,-3.5430,3.562
0.8210,-0.4330,-0.0570,-2.3680,2.408
0.8300,-1.0610,-0.3210,-1.1630,1.607
0.8410,-1.3930,-0.5540,-0.4400,1.562
0.8530,-1.4910,-0.7800,-0.5870,1.782
0.8600,-1.5140,-0.7590,-1.3310,2.154
0.8710,-1.4740,-0.9320,-2.2080,2.814
0.8800,-1.5170,-0.9350,-2.7180,3.250
