time,ax,ay,az,aT
0.0590,-0.5000,0.2490,-0.9100,1.068
0.0590,-0.4980,0.2520,-1.1430,1.272
0.0590,-0.4920,0.2010,-1.2020,1.314
0.0590,-0.3360,-0.0090,-0.9780,1.034
0.0590,-0.2760,0.0240,-0.4410,0.521
0.0600,-0.0790,0.1840,0.2230,0.300
0.0600,0.2140,0.1840,0.7040,0.758
0.0600,0.5600,-0.0760,0.9970,1.146
0.0600,0.7860,-0.3790,0.9730,1.307
0.0600,0.6930,-0.8880,0.6150,1.283
0.0700,0.3600,-0.8890,0.2790,0.999
0.0820,-0.0450,-0.4430,-0.0520,0.448
0.0900,-0.1020,-0.1360,-0.1430,0.222
0.1000,0.0090,0.1700,0.0940,0.194
0.1110,-0.1350,0.1250,-0.2270,0.292
0.1200,-0.1940,-0.0840,-0.9900,1.012
0.1310,-0.2450,-0.1620,-1.9190,1.941
0.1410,-0.2860,-0.2170,-2.8670,2.889
0.1510,-0.3510,-0.3190,-3.3500,3.383
0.1610,-0.4550,-0.2570,-3.1740,3.217
0.1710,-0.2100,-0.1720,-2.4710,2.486
0.1800,0.0010,-0.1200,-1.5900,1.595
0.1900,0.1630,-0.1360,-0.8930,0.918
0.2000,0.3280,-0.2600,-0.3890,0.571
0.2100,0.4700,-0.4450,-0.3760,0.749
0.2200,0.5360,-0.6040,-0.8010,1.137
0.2300,0.4520,-0.5740,-1.1560,1.368
0.2400,0.3780,-0.3580,-1.4470,1.538
0.2510,0.6540,-0.3400,-1.7350,1.885
0.2610,0.8500,-0.2890,-1.9440,2.141
0.2700,1.0190,-0.3550,-2.2930,2.534
0.2810,1.1510,-0.4260,-2.3990,2.695
0.2900,1.1040,-0.5130,-2.5400,2.817
0.3000,0.5270,-0.6440,-2.4380,2.576
0.3180,-0.2350,-0.4770,-2.1710,2.235
0.3200,-0.4580,-0.3480,-2.2280,2.301
0.3310,-0.4110,-0.3680,-2.2010,2.269
0.3420,-0.2600,-0.6100,-2.0170,2.123
0.3510,0.0560,-0.8890,-1.9720,2.164
0.3610,0.1930,-1.0420,-2.1770,2.421
0.3700,0.1200,-1.1350,-2.2640,2.535
0.3810,-0.0190,-1.2710,-2.2060,2.546
0.3910,-0.1630,-1.3610,-2.1910,2.584
0.4010,-0.3780,-1.5800,-2.4620,2.950
0.4170,-0.7570,-1.7210,-2.7800,3.356
0.4200,-0.8330,-1.7630,-3.3850,3.906
0.4310,-0.7080,-1.8280,-4.1260,4.568
0.4400,-0.6400,-2.0130,-4.9430,5.375
0.4510,-0.6800,-2.2560,-5.4640,5.950
0.4610,-0.5810,-2.6030,-5.5540,6.161
0.4710,-0.4950,-2.7810,-5.2160,5.932
