time,wx,wy,wz
0.435,0.00,-0.12,-0.19
0.438,0.05,-0.09,-0.16
0.441,0.11,-0.05,-0.15
0.443,0.16,-0.03,-0.13
0.446,0.20,-0.02,-0.12
0.448,0.25,-0.02,-0.11
0.451,0.29,-0.02,-0.11
0.453,0.32,-0.02,-0.11
0.462,0.35,-0.03,-0.11
0.463,0.38,-0.03,-0.12
0.464,0.40,-0.03,-0.14
0.465,0.42,-0.02,-0.15
0.466,0.43,-0.02,-0.16
0.479,0.44,-0.02,-0.17
0.481,0.44,-0.02,-0.18
0.481,0.43,-0.03,-0.19
0.482,0.42,-0.05,-0.21
0.482,0.40,-0.08,-0.22
0.482,0.38,-0.10,-0.23
0.483,0.35,-0.13,-0.24
0.486,0.32,-0.16,-0.25
0.494,0.29,-0.20,-0.26
0.495,0.25,-0.23,-0.28
0.496,0.22,-0.27,-0.29
0.498,0.18,-0.32,-0.30
0.500,0.14,-0.37,-0.32
0.501,0.11,-0.43,-0.33
0.503,0.07,-0.49,-0.35
0.506,0.04,-0.56,-0.36
0.508,0.02,-0.64,-0.38
0.511,-0.00,-0.73,-0.40
0.515,-0.02,-0.84,-0.42
0.515,-0.02,-1.00,-0.44
0.518,-0.01,-1.19,-0.45
0.521,0.00,-1.40,-0.46
0.523,0.03,-1.59,-0.46
0.526,0.08,-1.71,-0.45
0.528,0.13,-1.78,-0.42
0.530,0.18,-1.82,-0.40
0.534,0.23,-1.84,-0.38
0.535,0.26,-1.84,-0.34
0.538,0.28,-1.80,-0.31
0.543,0.27,-1.66,-0.25
0.544,0.23,-1.46,-0.18
0.545,0.19,-1.28,-0.12
0.548,0.13,-1.12,-0.08
0.550,0.05,-1.00,-0.06
0.553,-0.03,-0.89,-0.06
0.555,-0.11,-0.77,-0.07
0.558,-0.19,-0.64,-0.08
0.560,-0.26,-0.47,-0.09
0.563,-0.32,-0.28,-0.09
0.579,-0.37,-0.07,-0.08
0.582,-0.42,0.14,-0.09
0.583,-0.47,0.32,-0.09
0.584,-0.52,0.42,-0.10
0.585,-0.56,0.44,-0.12
0.586,-0.60,0.42,-0.15
0.587,-0.61,0.37,-0.18
0.588,-0.61,0.32,-0.20
0.589,-0.59,0.27,-0.23
0.589,-0.55,0.21,-0.25
0.597,-0.49,0.16,-0.27
0.597,-0.43,0.09,-0.29
0.598,-0.36,0.03,-0.30
0.598,-0.29,-0.03,-0.32
0.601,-0.23,-0.10,-0.33
0.603,-0.16,-0.19,-0.34
0.605,-0.10,-0.30,-0.36
0.608,-0.05,-0.43,-0.38
0.610,0.01,-0.58,-0.40
0.613,0.07,-0.74,-0.43
0.616,0.13,-0.90,-0.45
0.618,0.19,-1.06,-0.49
0.620,0.24,-1.22,-0.52
0.623,0.30,-1.38,-0.56
0.625,0.35,-1.55,-0.59
0.628,0.39,-1.71,-0.63
0.630,0.43,-1.87,-0.66
0.633,0.46,-2.03,-0.69
0.635,0.48,-2.17,-0.72
0.638,0.50,-2.31,-0.75
0.640,0.52,-2.44,-0.78
0.643,0.52,-2.55,-0.81
0.645,0.52,-2.65,-0.84
0.650,0.52,-2.75,-0.87
0.651,0.50,-2.83,-0.90
0.653,0.48,-2.91,-0.94
0.655,0.45,-2.97,-0.96
0.658,0.42,-3.02,-1.00
0.660,0.39,-3.06,-1.02
0.665,0.35,-3.09,-1.05
0.665,0.31,-3.11,-1.08
0.668,0.27,-3.13,-1.10
0.670,0.23,-3.13,-1.13
0.673,0.18,-3.13,-1.15
0.675,0.13,-3.12,-1.17
0.678,0.08,-3.12,-1.19
0.694,0.03,-3.12,-1.21
0.696,-0.01,-3.11,-1.23
0.696,-0.06,-3.11,-1.24
0.697,-0.10,-3.11,-1.23
0.697,-0.14,-3.11,-1.21
0.698,-0.17,-3.10,-1.18
0.698,-0.20,-3.08,-1.14
0.699,-0.22,-3.04,-1.09
0.702,-0.24,-2.99,-1.03
0.703,-0.27,-2.95,-0.98
0.705,-0.29,-2.91,-0.92
0.708,-0.32,-2.87,-0.85
0.710,-0.34,-2.85,-0.80
0.713,-0.37,-2.83,-0.73
0.716,-0.40,-2.81,-0.68
0.718,-0.44,-2.78,-0.62
0.720,-0.48,-2.75,-0.57
0.723,-0.52,-2.72,-0.50
0.725,-0.56,-2.68,-0.45
0.728,-0.61,-2.64,-0.39
0.730,-0.66,-2.61,-0.34
0.734,-0.73,-2.58,-0.28
0.735,-0.80,-2.54,-0.24
0.738,-0.88,-2.52,-0.20
0.740,-0.97,-2.48,-0.16
0.743,-1.06,-2.44,-0.13
0.745,-1.16,-2.40,-0.10
0.750,-1.27,-2.36,-0.08
0.752,-1.37,-2.31,-0.05
0.754,-1.48,-2.26,-0.04
0.755,-1.60,-2.20,-0.02
0.758,-1.70,-2.14,-0.00
0.761,-1.80,-2.08,0.01
0.763,-1.90,-2.02,0.03
0.767,-1.98,-1.96,0.04
