time,ax,ay,az,aT
1.2430,0.8870,3.5760,-0.4180,3.708
1.2540,1.5580,3.6010,-0.8390,4.012
1.2630,1.9310,4.3990,-1.4460,5.017
1.2710,2.4280,4.7070,-2.2140,5.740
1.2830,2.4160,4.3770,-2.4560,5.570
1.2930,2.1030,1.6620,-1.9730,3.328
1.3020,0.2870,-0.6800,-0.8270,1.108
1.3110,-2.1850,-1.4770,0.5970,2.704
1.3230,-3.4010,-1.6800,1.5000,4.079
1.3320,-3.3980,-1.5930,1.2830,3.966
1.3420,-2.9480,-1.4210,0.5750,3.323
1.3540,-2.2800,-1.3720,0.4200,2.694
1.3620,-1.2940,-1.3100,0.5200,1.913
1.3710,-0.4410,-0.9040,0.5980,1.170
1.3830,-0.0620,-0.5810,0.6930,0.906
1.3910,0.1250,-1.3840,0.2680,1.415
1.4090,-0.2830,-2.7050,-1.4120,3.064
1.4110,-1.5360,-3.0760,-0.9680,3.572
1.4230,-3.6820,-2.4320,0.5580,4.448
1.4310,-4.6210,-2.4580,1.2730,5.387
1.4430,-4.3510,-2.8380,1.4560,5.395
1.4510,-3.5910,-2.9800,1.4210,4.878
1.4610,-2.3210,-2.9790,1.1470,3.947
1.4710,-0.7460,-2.9920,0.5870,3.139
1.4820,0.3800,-2.8940,0.7370,3.010
1.4920,1.3580,-2.6220,0.5370,3.001
1.5030,1.5380,-2.6750,-0.0390,3.086
1.5110,0.9560,-3.0790,-0.7190,3.303
1.5220,-0.0710,-3.0320,-0.9980,3.193
1.5310,-1.2590,-2.5430,-0.9610,2.996
1.5410,-1.9790,-1.9340,-1.0230,2.950
1.5540,-1.9210,-1.4150,-1.1650,2.655
1.5630,-1.1600,-1.3040,-1.1350,2.082
1.5710,-0.1110,-1.6140,-0.8360,1.821
1.5840,0.8750,-1.5840,-0.7260,1.950
1.5950,1.4090,-1.3390,-0.7740,2.092
1.6070,1.5870,-1.1680,-0.6480,2.074
1.6130,1.5120,-1.0950,-0.6100,1.964
1.6270,1.2100,-1.1650,-0.4330,1.735
1.6430,0.7690,-1.0550,-0.0440,1.306
1.6440,0.2960,-0.6610,0.4560,0.856
1.6530,-0.0570,-0.2150,1.1040,1.126
1.6610,0.4540,0.8140,1.5920,1.845
1.6710,0.6750,1.7620,1.5390,2.435
1.6840,0.0820,2.3540,1.4940,2.789
1.7130,-0.3860,2.6930,1.4940,3.104
1.7150,-0.2760,2.3240,1.4390,2.747
1.7150,-0.0570,1.3320,1.0980,1.727
1.7270,-0.3010,0.2980,0.5760,0.715
1.7490,-0.4440,-0.5980,0.2460,0.784
1.7500,-0.1600,-1.3890,-0.0660,1.400
1.7520,0.8490,-2.2640,-0.4050,2.452
1.7710,2.9130,-3.3120,-0.6500,4.458
1.7720,3.7450,-3.4290,-0.7680,5.135
1.7810,1.7630,-1.6000,-0.6550,2.469
1.7900,-2.1760,-0.9540,-1.0730,2.607
1.8020,-1.2130,-1.2940,-4.0570,4.428
1.8110,2.4570,-2.1060,-9.4180,9.958
1.8210,1.4960,-5.6820,-8.2950,10.165
1.8320,0.7550,-4.3280,-3.3540,5.527
1.8420,-4.1210,0.3030,2.9680,5.088
1.8520,-8.1680,2.0980,6.9080,10.901
1.8600,-8.2070,-0.0670,7.3770,11.035
1.8710,-6.0620,-3.2540,6.4860,9.455
1.8810,-4.1000,-4.7590,4.7620,7.883
1.8920,-3.3520,-4.3600,3.5080,6.523
1.9010,-2.7130,-4.7280,2.9790,6.212
1.9110,-1.4610,-5.9140,3.0730,6.823
1.9210,1.1930,-5.2040,3.6070,6.443
1.9320,3.6790,-4.6650,3.4570,6.874
1.9410,4.6020,-4.8000,3.1300,7.350
1.9520,5.0800,-4.4780,3.6040,7.671
1.9600,4.9940,-2.9970,3.9040,7.012
1.9720,4.1510,0.9360,3.0760,5.251
1.9820,3.6960,2.3300,2.4860,5.027
2.0010,2.4650,2.4210,2.2920,4.146
2.0120,3.2810,2.4360,1.8040,4.467
2.0130,4.7320,0.5580,1.4080,4.968
2.0280,7.2110,0.4090,1.4660,7.370
2.0330,7.7770,2.1270,3.4190,8.758
2.0440,5.2030,3.5910,5.8390,8.606
2.0520,2.5350,4.3930,6.8310,8.508
2.0690,1.1210,3.6590,7.2040,8.157
2.0710,0.5560,2.3840,7.4500,7.842
2.0820,0.2880,0.9300,7.3460,7.410
2.0950,-0.3330,-0.0390,6.7170,6.725
2.1040,-1.3270,-0.2300,5.0230,5.200
2.1110,-2.2090,-0.2750,2.5300,3.370
2.1200,-2.3890,-0.5900,-0.7170,2.563
2.1310,-0.6850,-2.2570,-4.8520,5.395
2.1400,1.0940,-3.1520,-7.1560,7.896
2.1510,1.7180,-2.1020,-7.3090,7.797
2.1640,1.5820,-0.9580,-6.7320,6.981
2.1700,1.2750,0.1760,-6.1320,6.266
2.1810,0.8660,0.6050,-5.7400,5.836
2.1910,0.3970,0.5400,-4.7290,4.776
2.2020,-0.2050,0.7830,-3.9510,4.033
2.2100,-0.3660,0.9290,-3.2350,3.386
2.2210,0.4500,0.5590,-2.8580,2.947
2.2300,1.4590,0.2330,-3.7430,4.024
2.2420,2.3830,1.0970,-2.9790,3.969
2.2530,1.4860,2.2620,-2.1990,3.487
2.2620,-0.1610,3.2360,1.2950,3.489
2.2700,0.5990,3.0030,-0.7660,3.157
2.2800,1.0940,2.1510,-0.2510,2.426
2.2900,1.3050,2.6090,-0.8790,3.047
2.3010,1.5570,2.2650,-1.6650,3.214
2.3100,1.5320,2.4140,-1.3300,3.153
2.3200,1.1370,2.6330,-0.7400,2.962
2.3290,0.6470,2.9110,0.4600,3.017
2.3410,0.6260,4.6600,-6.2730,7.840
2.3500,2.5700,2.0080,-5.5820,6.465
2.3600,4.9700,0.8520,-7.9560,9.419
2.3700,5.6190,0.9910,-7.8050,9.668
