time,wx,wy,wz
0.034,-0.26,-0.28,0.05
0.035,-0.28,-0.31,0.03
0.035,-0.28,-0.34,0.01
0.036,-0.28,-0.35,-0.00
0.036,-0.27,-0.36,-0.02
0.037,-0.27,-0.35,-0.03
0.037,-0.25,-0.33,-0.04
0.038,-0.24,-0.29,-0.05
0.038,-0.23,-0.25,-0.06
0.039,-0.21,-0.21,-0.06
0.039,-0.20,-0.16,-0.06
0.039,-0.18,-0.10,-0.06
0.040,-0.16,-0.05,-0.06
0.042,-0.14,0.01,-0.05
0.042,-0.12,0.06,-0.05
0.043,-0.10,0.11,-0.04
0.043,-0.09,0.16,-0.03
0.044,-0.07,0.21,-0.02
0.044,-0.05,0.26,-0.01
0.045,-0.02,0.30,0.00
0.045,-0.01,0.34,0.01
0.046,0.01,0.38,0.02
0.046,0.03,0.43,0.02
0.052,0.05,0.47,0.03
0.052,0.07,0.52,0.03
0.052,0.08,0.56,0.04
0.054,0.10,0.60,0.05
0.057,0.12,0.64,0.06
0.072,0.14,0.66,0.06
0.072,0.15,0.68,0.07
0.073,0.17,0.69,0.07
0.073,0.19,0.69,0.07
0.074,0.20,0.69,0.07
0.074,0.21,0.69,0.07
0.075,0.22,0.68,0.06
0.078,0.21,0.60,0.02
0.079,0.18,0.48,-0.04
0.082,0.16,0.41,-0.11
0.084,0.16,0.36,-0.18
0.087,0.16,0.31,-0.25
0.089,0.16,0.26,-0.30
0.092,0.16,0.21,-0.36
0.095,0.16,0.18,-0.41
0.097,0.16,0.17,-0.45
0.099,0.15,0.18,-0.48
0.102,0.15,0.20,-0.51
0.104,0.14,0.23,-0.53
0.107,0.13,0.27,-0.53
0.120,0.12,0.30,-0.54
0.120,0.10,0.33,-0.55
0.121,0.09,0.37,-0.55
0.121,0.07,0.40,-0.56
0.122,0.05,0.43,-0.57
0.122,0.03,0.45,-0.58
0.124,0.01,0.47,-0.59
0.127,-0.01,0.50,-0.61
0.129,-0.02,0.53,-0.62
0.137,-0.04,0.56,-0.64
0.138,-0.06,0.59,-0.66
0.139,-0.07,0.60,-0.66
0.139,-0.10,0.62,-0.67
0.147,-0.13,0.63,-0.68
0.149,-0.16,0.64,-0.68
0.150,-0.18,0.64,-0.67
0.150,-0.21,0.65,-0.68
0.152,-0.24,0.65,-0.68
0.154,-0.27,0.66,-0.68
0.157,-0.30,0.68,-0.68
0.161,-0.33,0.69,-0.69
0.163,-0.36,0.70,-0.71
0.165,-0.40,0.72,-0.73
0.167,-0.44,0.75,-0.75
0.170,-0.48,0.78,-0.78
0.172,-0.53,0.82,-0.81
0.175,-0.58,0.84,-0.85
0.178,-0.62,0.86,-0.89
0.179,-0.67,0.86,-0.91
0.182,-0.72,0.85,-0.94
0.184,-0.77,0.82,-0.97
0.187,-0.82,0.78,-1.00
0.190,-0.88,0.71,-1.03
0.192,-0.96,0.61,-1.07
0.194,-1.06,0.48,-1.11
0.197,-1.16,0.37,-1.16
0.199,-1.26,0.28,-1.21
0.202,-1.35,0.21,-1.26
0.204,-1.45,0.16,-1.32
0.206,-1.55,0.12,-1.38
0.222,-1.66,0.08,-1.42
0.223,-1.75,0.05,-1.47
0.224,-1.83,0.02,-1.49
0.224,-1.89,-0.01,-1.50
0.225,-1.92,-0.02,-1.50
0.225,-1.93,-0.02,-1.49
0.225,-1.91,-0.01,-1.47
0.227,-1.89,0.00,-1.45
0.229,-1.85,0.02,-1.43
0.233,-1.81,0.04,-1.41
0.234,-1.75,0.08,-1.38
0.237,-1.68,0.13,-1.36
0.240,-1.60,0.18,-1.34
0.242,-1.52,0.23,-1.32
0.248,-1.43,0.26,-1.31
0.249,-1.33,0.31,-1.29
0.249,-1.23,0.36,-1.28
0.252,-1.11,0.42,-1.27
0.255,-1.00,0.47,-1.27
0.256,-0.90,0.51,-1.27
0.260,-0.81,0.53,-1.28
0.262,-0.73,0.55,-1.28
0.265,-0.66,0.55,-1.30
0.267,-0.62,0.53,-1.33
0.269,-0.59,0.48,-1.37
0.272,-0.56,0.44,-1.41
0.275,-0.53,0.43,-1.44
0.278,-0.49,0.44,-1.47
0.279,-0.44,0.43,-1.50
0.282,-0.39,0.42,-1.52
0.284,-0.34,0.38,-1.53
0.287,-0.28,0.35,-1.54
0.289,-0.22,0.31,-1.53
0.292,-0.16,0.28,-1.52
0.295,-0.09,0.27,-1.52
0.297,-0.03,0.28,-1.51
0.299,0.03,0.29,-1.51
0.302,0.08,0.32,-1.51
0.305,0.12,0.35,-1.51
0.307,0.16,0.37,-1.51
0.324,0.19,0.39,-1.51
0.325,0.23,0.42,-1.52
0.326,0.26,0.43,-1.51
0.327,0.28,0.44,-1.52
0.328,0.30,0.43,-1.51
0.328,0.31,0.36,-1.50
0.329,0.32,0.24,-1.49
0.330,0.31,0.13,-1.48
0.330,0.30,0.04,-1.47
0.355,0.29,-0.02,-1.48
0.356,0.29,-0.06,-1.50
0.359,0.29,-0.10,-1.52
0.360,0.31,-0.12,-1.54
0.361,0.33,-0.14,-1.54
0.361,0.36,-0.17,-1.55
0.362,0.39,-0.19,-1.55
0.363,0.42,-0.20,-1.54
0.364,0.45,-0.21,-1.53
0.364,0.47,-0.21,-1.51
0.365,0.49,-0.21,-1.48
0.366,0.52,-0.19,-1.45
0.366,0.53,-0.16,-1.41
0.367,0.54,-0.13,-1.37
0.368,0.55,-0.09,-1.33
0.369,0.56,-0.04,-1.29
0.376,0.56,0.03,-1.25
0.377,0.55,0.11,-1.21
0.378,0.53,0.19,-1.17
0.387,0.50,0.25,-1.15
0.388,0.45,0.27,-1.12
0.388,0.41,0.28,-1.11
0.389,0.36,0.28,-1.10
0.390,0.31,0.26,-1.09
0.393,0.27,0.23,-1.09
0.399,0.22,0.19,-1.11
0.400,0.19,0.14,-1.12
0.400,0.16,0.08,-1.13
0.402,0.13,0.02,-1.15
0.404,0.12,-0.04,-1.17
0.407,0.11,-0.08,-1.18
0.419,0.11,-0.12,-1.18
0.419,0.11,-0.16,-1.18
0.420,0.11,-0.20,-1.17
0.420,0.11,-0.23,-1.14
0.421,0.11,-0.24,-1.12
0.422,0.10,-0.26,-1.10
0.428,0.07,-0.26,-1.09
0.429,0.03,-0.25,-1.08
0.430,-0.01,-0.24,-1.07
0.432,-0.06,-0.25,-1.06
0.434,-0.09,-0.28,-1.05
0.436,-0.12,-0.30,-1.05
0.439,-0.13,-0.31,-1.05
0.442,-0.15,-0.31,-1.06
0.444,-0.17,-0.30,-1.08
0.447,-0.21,-0.25,-1.11
0.449,-0.24,-0.16,-1.13
0.452,-0.27,-0.05,-1.14
0.454,-0.30,0.03,-1.14
0.457,-0.33,0.05,-1.14
0.459,-0.35,0.07,-1.13
0.462,-0.34,0.08,-1.12
0.465,-0.32,0.10,-1.11
0.466,-0.29,0.12,-1.11
0.469,-0.26,0.14,-1.13
0.472,-0.23,0.19,-1.15
0.474,-0.20,0.24,-1.18
0.478,-0.18,0.33,-1.21
0.479,-0.18,0.50,-1.25
0.481,-0.20,0.72,-1.29
0.484,-0.24,0.91,-1.33
0.487,-0.28,1.00,-1.37
0.489,-0.31,0.98,-1.40
0.491,-0.30,0.92,-1.43
0.494,-0.26,0.88,-1.45
0.497,-0.21,0.82,-1.47
0.500,-0.15,0.76,-1.49
0.502,-0.10,0.70,-1.52
0.504,-0.04,0.66,-1.55
0.509,0.00,0.62,-1.57
0.510,0.05,0.60,-1.60
0.517,0.08,0.58,-1.62
0.519,0.13,0.58,-1.63
0.519,0.16,0.57,-1.65
0.520,0.19,0.57,-1.66
0.522,0.23,0.59,-1.66
0.525,0.27,0.63,-1.65
0.534,0.31,0.66,-1.64
0.535,0.35,0.71,-1.62
0.535,0.40,0.75,-1.61
0.536,0.46,0.80,-1.60
0.537,0.51,0.83,-1.59
0.539,0.56,0.85,-1.58
0.542,0.61,0.83,-1.57
0.545,0.65,0.73,-1.56
0.546,0.68,0.58,-1.55
0.549,0.70,0.36,-1.55
0.551,0.70,0.10,-1.57
0.554,0.69,-0.17,-1.59
0.556,0.69,-0.39,-1.63
0.561,0.70,-0.56,-1.66
0.562,0.71,-0.66,-1.70
0.564,0.73,-0.70,-1.74
0.567,0.76,-0.67,-1.77
0.569,0.79,-0.60,-1.78
0.572,0.81,-0.51,-1.76
0.578,0.83,-0.42,-1.73
0.579,0.85,-0.33,-1.67
0.580,0.86,-0.25,-1.59
0.582,0.87,-0.19,-1.49
0.584,0.86,-0.15,-1.39
0.586,0.85,-0.11,-1.27
0.589,0.83,-0.07,-1.16
0.592,0.79,-0.03,-1.05
0.595,0.76,0.02,-0.94
0.597,0.71,0.07,-0.84
0.599,0.67,0.11,-0.74
0.601,0.62,0.14,-0.64
0.604,0.58,0.16,-0.54
0.606,0.54,0.17,-0.43
0.610,0.50,0.18,-0.32
0.628,0.46,0.18,-0.21
0.629,0.41,0.20,-0.12
0.630,0.37,0.21,-0.05
0.630,0.32,0.21,-0.02
0.631,0.26,0.15,-0.01
0.632,0.18,0.04,-0.03
0.632,0.07,-0.12,-0.08
0.633,-0.05,-0.31,-0.15
0.634,-0.19,-0.51,-0.24
0.635,-0.34,-0.71,-0.35
0.654,-0.47,-0.90,-0.45
0.655,-0.59,-1.06,-0.56
0.656,-0.69,-1.17,-0.65
0.659,-0.78,-1.25,-0.73
0.660,-0.85,-1.29,-0.81
0.660,-0.92,-1.30,-0.87
0.661,-0.99,-1.25,-0.93
0.662,-1.09,-1.12,-1.02
0.663,-1.20,-0.94,-1.13
0.663,-1.31,-0.77,-1.26
0.664,-1.41,-0.61,-1.36
0.665,-1.51,-0.51,-1.44
0.668,-1.65,-0.58,-1.48
0.669,-1.81,-0.72,-1.51
0.672,-1.95,-0.85,-1.50
0.674,-2.07,-0.95,-1.46
0.679,-2.16,-1.02,-1.41
0.681,-2.23,-1.08,-1.35
0.682,-2.28,-1.13,-1.27
