time,ax,ay,az,aT
0.0350,0.1880,0.5720,-1.2710,1.406
0.0350,0.1560,0.2760,-1.4020,1.437
0.0360,0.0910,0.1000,-1.4020,1.409
0.0360,-0.0430,0.1590,-1.0820,1.094
0.0390,0.2090,-0.0220,-1.1110,1.131
0.0450,0.3210,-0.8280,-1.4110,1.667
0.0560,-0.3110,-0.6440,-0.9150,1.161
0.0650,-0.1570,-0.5830,-0.6580,0.893
0.0750,0.0320,-0.3290,-0.1620,0.368
0.0850,-0.0060,0.0020,0.1730,0.173
0.0960,0.1310,0.1990,0.3220,0.401
0.1050,0.2440,0.1290,0.2560,0.376
0.1170,0.2380,0.2560,0.0790,0.358
0.1260,0.2930,0.1710,0.0840,0.349
0.1360,0.2110,-0.0620,0.2000,0.297
0.1450,0.1670,-0.2960,0.3020,0.455
0.1560,0.1850,-0.4060,0.4320,0.621
0.1650,0.1780,-0.4410,0.4690,0.668
0.1750,0.1440,-0.4620,0.3450,0.594
0.1850,0.0460,-0.3670,0.2150,0.428
0.2000,-0.0300,-0.1940,-0.0160,0.197
0.2060,0.0470,-0.1250,-0.2410,0.276
0.2150,0.1510,-0.3780,-0.2980,0.504
0.2290,0.1020,-0.9520,-0.1470,0.969
0.2350,-0.2080,-1.2600,-0.0280,1.277
0.2440,-0.7750,-1.0150,0.0640,1.279
0.2550,-0.6380,-0.2030,0.0490,0.671
0.2660,-0.2570,0.5240,0.4960,0.766
0.2750,-0.1620,0.7640,1.0260,1.289
0.2850,-0.0090,0.6750,1.4050,1.559
0.3000,0.1560,0.3350,1.3550,1.404
0.3060,0.0990,-0.1800,0.8860,0.910
0.3150,0.2100,-0.5480,0.2710,0.646
0.3260,0.1970,-0.7370,-0.0190,0.763
0.3360,0.4540,-0.9300,-0.1040,1.040
0.3450,0.7850,-1.1020,-0.5500,1.461
0.3560,-0.2290,-0.9240,-0.9110,1.318
0.3650,-0.9510,-0.4190,0.3990,1.113
0.3750,-0.8420,-0.2920,0.8760,1.250
0.3870,-0.4700,-0.1770,0.4750,0.691
0.3940,0.0000,-0.3980,0.3920,0.559
0.4060,-0.7420,-0.0200,0.4840,0.886
0.4150,-1.1990,1.3080,0.4890,1.841
0.4250,-1.0820,2.6440,0.7000,2.941
