time,wx,wy,wz
0.435,-0.29,0.28,-0.93
0.437,-0.32,0.25,-0.95
0.439,-0.36,0.22,-0.96
0.443,-0.39,0.20,-0.97
0.444,-0.44,0.18,-0.99
0.447,-0.48,0.15,-1.00
0.450,-0.52,0.13,-1.01
0.452,-0.57,0.13,-1.02
0.454,-0.61,0.12,-1.03
0.457,-0.66,0.13,-1.04
0.459,-0.72,0.14,-1.04
0.462,-0.77,0.15,-1.05
0.476,-0.82,0.16,-1.05
0.477,-0.86,0.18,-1.05
0.478,-0.91,0.21,-1.05
0.478,-0.95,0.23,-1.06
0.481,-1.00,0.24,-1.06
0.482,-1.04,0.23,-1.07
0.483,-1.09,0.20,-1.07
0.483,-1.15,0.14,-1.07
0.484,-1.21,0.04,-1.07
0.498,-1.28,-0.09,-1.05
0.499,-1.35,-0.23,-1.02
0.500,-1.42,-0.35,-0.99
0.502,-1.47,-0.45,-0.95
0.502,-1.51,-0.52,-0.91
0.503,-1.55,-0.57,-0.88
0.504,-1.57,-0.59,-0.86
0.504,-1.59,-0.61,-0.85
0.507,-1.61,-0.64,-0.83
0.509,-1.62,-0.65,-0.83
0.511,-1.63,-0.64,-0.83
0.514,-1.64,-0.61,-0.86
0.517,-1.65,-0.55,-0.89
0.519,-1.65,-0.46,-0.92
0.522,-1.66,-0.36,-0.97
0.524,-1.67,-0.23,-1.02
0.526,-1.68,-0.10,-1.08
0.530,-1.68,0.05,-1.15
0.532,-1.68,0.20,-1.22
0.534,-1.68,0.35,-1.29
0.537,-1.68,0.49,-1.36
0.540,-1.68,0.61,-1.43
0.542,-1.67,0.71,-1.50
0.544,-1.66,0.79,-1.56
0.546,-1.64,0.84,-1.61
0.550,-1.63,0.89,-1.66
0.552,-1.61,0.91,-1.71
0.554,-1.59,0.92,-1.76
0.556,-1.57,0.93,-1.81
0.559,-1.55,0.91,-1.86
0.561,-1.52,0.89,-1.91
0.564,-1.50,0.85,-1.96
0.578,-1.47,0.81,-2.01
0.579,-1.44,0.77,-2.05
0.580,-1.41,0.73,-2.10
0.581,-1.38,0.70,-2.14
0.581,-1.35,0.68,-2.18
0.582,-1.31,0.67,-2.22
0.583,-1.28,0.68,-2.26
0.584,-1.24,0.70,-2.29
0.599,-1.21,0.73,-2.32
0.600,-1.17,0.77,-2.35
0.601,-1.14,0.80,-2.38
0.602,-1.11,0.83,-2.40
0.602,-1.09,0.85,-2.42
0.603,-1.07,0.86,-2.42
0.604,-1.06,0.87,-2.42
0.605,-1.05,0.87,-2.41
0.606,-1.04,0.89,-2.40
0.609,-1.03,0.92,-2.39
0.611,-1.03,0.95,-2.37
0.616,-1.03,0.97,-2.35
0.617,-1.02,0.97,-2.33
0.619,-1.01,0.96,-2.31
0.622,-1.01,0.92,-2.29
0.625,-1.00,0.87,-2.26
0.627,-0.98,0.76,-2.22
0.633,-0.96,0.61,-2.17
0.634,-0.93,0.44,-2.12
0.634,-0.90,0.27,-2.05
0.637,-0.85,0.15,-1.98
0.641,-0.80,0.07,-1.91
0.641,-0.73,0.06,-1.85
0.644,-0.67,0.10,-1.79
0.646,-0.60,0.16,-1.74
0.649,-0.52,0.25,-1.69
0.652,-0.44,0.38,-1.66
0.654,-0.35,0.56,-1.62
0.658,-0.27,0.78,-1.59
0.659,-0.20,1.04,-1.57
0.662,-0.13,1.31,-1.55
0.676,-0.06,1.58,-1.53
0.678,0.01,1.84,-1.51
0.678,0.09,2.09,-1.49
0.679,0.18,2.33,-1.46
0.680,0.24,2.48,-1.47
0.681,0.25,2.46,-1.49
0.681,0.26,2.33,-1.52
0.682,0.28,2.13,-1.54
0.684,0.34,1.91,-1.52
0.686,0.42,1.72,-1.51
0.689,0.53,1.57,-1.49
0.691,0.64,1.44,-1.47
0.694,0.77,1.34,-1.48
0.696,0.90,1.27,-1.49
0.699,1.04,1.20,-1.52
0.701,1.19,1.12,-1.56
0.704,1.34,1.05,-1.60
0.707,1.49,0.97,-1.64
0.709,1.64,0.89,-1.67
0.711,1.79,0.81,-1.70
0.716,1.94,0.76,-1.72
0.717,2.09,0.72,-1.75
0.719,2.22,0.65,-1.77
0.722,2.33,0.54,-1.80
0.724,2.42,0.33,-1.84
0.727,2.46,-0.12,-1.87
0.732,2.48,-0.66,-1.89
0.733,2.46,-1.34,-1.89
0.734,2.43,-1.87,-1.86
0.736,2.40,-2.11,-1.83
0.739,2.37,-2.33,-1.80
0.741,2.34,-2.70,-1.77
0.744,2.33,-2.99,-1.75
0.746,2.33,-3.11,-1.72
0.749,2.35,-3.08,-1.70
0.751,2.39,-2.96,-1.67
0.754,2.44,-2.74,-1.65
0.757,2.50,-2.49,-1.62
0.759,2.56,-2.20,-1.60
