time,ax,ay,az,aT
1.2500,-2.3550,1.1790,-1.5770,3.070
1.2600,-1.3670,0.4910,-2.4880,2.881
1.2700,2.0430,-0.1270,-4.1720,4.647
1.2790,2.0020,0.4240,-2.7980,3.466
1.2890,1.3150,0.4910,-2.1490,2.567
1.2990,0.4990,-0.1980,-2.0430,2.112
1.3100,0.0170,-1.0990,-2.0270,2.306
1.3240,0.9630,-1.7800,-2.1930,2.984
1.3290,2.0420,-2.1450,-1.7150,3.422
1.3410,2.6070,-2.5560,-0.4810,3.683
1.3490,2.9410,-2.9440,0.4090,4.181
1.3610,2.7810,-3.1180,1.1430,4.332
1.3690,2.3200,-3.0170,1.6200,4.136
1.3800,1.8710,-2.8280,1.6260,3.761
1.3890,1.4270,-3.0620,1.0210,3.529
1.4450,0.7970,-3.4420,0.2230,3.540
1.4450,0.2490,-3.6680,-0.7510,3.752
1.4460,-0.1030,-3.8290,-1.8120,4.237
1.4460,-0.3330,-4.0200,-2.9270,4.984
1.4460,-0.3850,-4.0490,-4.0460,5.737
1.4610,-0.4300,-4.1280,-4.9040,6.425
1.4620,-0.6960,-4.3880,-5.3400,6.947
1.4750,-0.8920,-4.7630,-5.1970,7.106
1.4780,-1.1170,-5.4650,-4.5270,7.184
1.4890,-1.3300,-6.2480,-3.4820,7.275
1.5000,-1.3330,-6.9730,-2.3470,7.477
1.5090,-0.9800,-7.5220,-1.0830,7.662
1.5190,-0.4690,-7.8900,0.0240,7.904
1.5290,0.1740,-8.1010,0.5930,8.125
1.5450,0.4240,-8.1980,0.9790,8.267
1.5490,0.0350,-8.2040,0.4770,8.218
1.5590,-0.2830,-7.9230,-0.5820,7.949
1.5690,-0.1300,-7.7230,-1.5000,7.868
1.5780,0.7160,-7.6530,-1.8160,7.898
1.5900,1.6350,-7.5520,-1.5930,7.889
1.5980,2.5120,-7.4980,-0.9780,7.968
1.6090,3.0900,-7.4380,0.0740,8.055
1.6190,3.4350,-7.1480,1.4440,8.061
1.6300,3.9000,-6.6340,3.0850,8.291
1.6400,4.4310,-5.9650,5.1700,9.052
1.6500,4.9890,-5.1460,7.4780,10.358
1.6590,5.2620,-4.3940,9.5480,11.754
1.6690,5.1100,-3.5460,10.7510,12.421
1.6790,4.9110,-2.5550,10.6810,12.030
1.6890,5.1740,-1.2900,9.6700,11.043
1.7010,5.4020,-0.1630,8.0100,9.663
1.7110,5.4080,0.6700,6.3930,8.400
1.7260,5.3660,1.3270,5.3440,7.689
1.7390,5.0910,1.7200,5.0630,7.383
1.7430,4.7500,1.9690,5.3750,7.438
1.7500,4.3150,2.2900,6.1360,7.843
1.7610,3.6550,2.5810,6.9240,8.244
1.7700,3.2750,2.9510,7.7500,8.916
1.7840,2.8600,3.5510,8.8970,9.997
1.7900,2.5880,4.2680,10.2290,11.382
1.7990,2.6320,5.0430,11.6340,12.950
1.8090,3.3150,5.7420,12.9030,14.507
1.8200,3.8040,6.5190,13.5400,15.502
1.8310,4.3930,7.2060,13.5900,15.997
