time,ax,ay,az,aT
0.0350,1.4870,-0.2510,-0.5260,1.597
0.0360,1.5020,0.1500,-0.4840,1.585
0.0360,0.7440,-0.1000,-0.4860,0.894
0.0360,-0.2370,-0.3090,-0.6240,0.736
0.0360,-0.7340,0.4070,-0.1920,0.861
0.0370,-0.2610,0.5750,0.0740,0.636
0.0450,0.5020,0.2080,0.5250,0.756
0.0540,-0.9000,-0.9360,0.2060,1.315
0.0640,-3.4320,-1.5610,-0.6390,3.824
0.0740,-3.4020,0.0490,-0.1560,3.406
0.0840,-1.4360,-0.4020,-0.0220,1.491
0.0940,0.7100,-0.9490,-0.4200,1.257
0.1040,1.6840,-0.1650,-0.2450,1.710
0.1140,2.2130,0.7770,0.2240,2.356
0.1250,2.6820,1.0640,0.2400,2.895
0.1340,2.7250,0.9650,-0.0850,2.892
0.1460,2.3030,0.9140,-0.3750,2.506
0.1550,1.6660,0.9050,-0.5890,1.985
0.1650,1.1860,0.5840,-0.8300,1.561
0.1750,0.5950,0.2160,-1.2120,1.367
0.1840,-0.2300,0.1000,-1.3840,1.407
0.1960,-0.8260,0.0170,-1.1240,1.395
0.2050,-0.8960,-0.1150,-0.6540,1.115
0.2150,-0.6610,-0.1620,-0.3810,0.780
0.2250,-0.2830,0.0560,-0.0650,0.296
0.2350,0.4320,0.3020,0.0990,0.536
0.2460,1.1630,0.4030,0.2310,1.252
0.2550,1.7570,0.5550,0.5940,1.936
0.2660,2.1350,0.7980,0.6960,2.383
0.2740,2.3960,0.8800,0.1710,2.558
0.2850,2.4910,0.6930,-0.4790,2.630
0.3040,2.7740,0.0880,-0.9910,2.947
0.3050,2.2060,0.0130,-1.0890,2.460
0.3360,0.8480,0.1870,-1.5050,1.738
0.3360,-0.3030,0.2010,-1.9600,1.993
0.3360,-0.8810,0.2550,-2.1040,2.295
0.3450,-1.1490,0.3540,-2.1210,2.438
0.3550,-1.2140,0.3330,-1.9260,2.301
0.3650,-1.0720,0.2340,-1.6270,1.962
0.3750,-0.6210,0.1520,-1.2130,1.371
0.3870,-0.1410,-0.0030,-1.2950,1.303
0.3960,0.3680,-0.0670,-0.4740,0.604
0.4040,0.5530,-0.2950,-0.0760,0.631
0.4150,-0.3260,-1.2090,0.5660,1.374
0.4250,-1.1220,-0.9630,0.7310,1.649
0.4350,-1.3530,0.5880,1.4120,2.042
0.4480,-1.1370,0.4360,1.7060,2.096
0.4540,-0.1820,-0.2280,1.9830,2.004
0.4640,0.7470,-0.2430,2.2670,2.399
0.4740,1.4160,-0.4060,1.8950,2.400
0.4850,1.5130,-0.4940,1.2750,2.039
0.4940,1.0550,-0.3150,0.7680,1.342
0.5040,0.6190,-0.2390,0.5850,0.885
0.5150,-0.1580,-0.0940,0.6490,0.675
0.5240,-0.5930,-0.0360,0.7880,0.987
0.5340,-0.6310,-0.1480,1.0760,1.256
0.5440,-0.4320,-0.2710,1.3560,1.449
0.5540,-0.3050,-0.2080,1.5810,1.624
0.5650,-0.4220,-0.1870,1.5580,1.625
0.5740,-0.1240,-0.2800,1.1090,1.151
0.5850,0.4540,-0.2500,0.7180,0.886
0.6030,0.7310,-0.0850,0.5140,0.898
0.6050,0.5970,0.0420,0.3990,0.719
0.6150,0.2060,0.0700,0.5240,0.567
0.6240,-0.1000,-0.0480,0.8220,0.829
0.6340,-0.2630,-0.1760,1.1710,1.213
