timestamp,acc_x,acc_y,acc_z
0.059,-0.276,0.024,-0.441
0.079,0.05625000000000013,-0.5545000000000001,0.03075000000000011
0.099,-0.0021000000000000046,0.13940000000000002,0.0703
0.11900000000000001,-0.18744444444444452,-0.06077777777777807,-0.9052222222222233
0.139,-0.27780000000000005,-0.20600000000000013,-2.6774000000000022
0.15900000000000003,-0.4342000000000003,-0.26939999999999986,-3.2091999999999996
0.17900000000000002,-0.02244444444444385,-0.12577777777777763,-1.6878888888888866
0.199,0.3115,-0.24760000000000001,-0.4394
0.21900000000000003,0.5294000000000002,-0.5881000000000004,-0.7585000000000012
0.23900000000000005,0.38539999999999963,-0.3795999999999988,-1.4179000000000017
0.259,0.8108,-0.2992,-1.9022
0.279,1.127,-0.41309090909090906,-2.3797272727272727
0.29900000000000004,0.5846999999999969,-0.6309000000000007,-2.4481999999999995
0.31900000000000006,-0.3465000000000062,-0.4124999999999964,-2.199500000000002
0.339,-0.30118181818181816,-0.544,-2.067181818181818
0.35900000000000004,0.16560000000000077,-1.011400000000001,-2.136000000000001
0.37900000000000006,0.006272727272726569,-1.2462727272727279,-2.216545454545454
0.3990000000000001,-0.3350000000000012,-1.5362000000000013,-2.4078000000000017
0.4190000000000001,-0.8076666666666694,-1.7490000000000014,-3.1833333333333558
0.43900000000000006,-0.6475555555555551,-1.9924444444444456,-4.852222222222227
0.4590000000000001,-0.6007999999999994,-2.533600000000002,-5.5360000000000005
0.4790000000000001,-0.6265555555555574,-2.6778888888888877,-4.69866666666666
0.49900000000000005,-0.4542727272727261,-2.737,-4.4363636363636365
0.5190000000000001,-0.6215000000000203,-2.5914999999999924,-3.9437499999999868
0.5390000000000001,-1.3742222222222213,-2.103444444444447,-4.057333333333338
0.5590000000000002,-1.704800000000004,-3.320600000000004,-4.2129999999999965
0.5790000000000002,-2.180466666666669,-3.512266666666668,-3.0146666666666566
0.5990000000000002,-1.8089090909090806,-3.340363636363633,-2.344272727272728
0.619,-0.8238888888888889,-3.6340000000000003,-3.758222222222222
0.639,-0.1898571428571429,-4.588571428571429,-3.542
0.659,0.3313333333333333,-5.190666666666666,-0.8216666666666665
0.679,1.1226363636363637,-5.581818181818182,0.8763636363636362
0.6990000000000001,2.357818181818187,-5.98209090909091,1.9079090909090977
0.7190000000000001,2.4971111111111095,-5.850666666666665,3.3338888888888962
0.7390000000000001,1.9547142857142816,-5.537571428571424,3.8025714285714285
0.7590000000000001,1.910533333333335,-5.396733333333333,3.5486666666666644
0.7790000000000001,2.427600000000002,-5.2057,2.4570999999999934
0.7990000000000002,2.8598000000000026,-5.710000000000004,1.5187999999999953
0.8190000000000002,4.212800000000021,-6.499700000000008,1.346500000000001
0.8390000000000002,6.638100000000027,-6.585799999999999,1.8401000000000074
0.8590000000000002,9.31522222222225,-5.54177777777776,2.9136666666666793
0.8790000000000002,10.64472727272728,-4.171272727272711,4.0350000000000135
0.8990000000000002,10.989571428571427,-2.1175714285713965,5.702714285714311
0.9190000000000003,9.919555555555538,-1.4307777777777775,6.438222222222225
0.9390000000000001,9.228099999999992,-1.823100000000005,4.95189999999999
0.9590000000000001,7.563727272727262,-2.164818181818185,3.512272727272722
0.9790000000000001,5.1364999999999865,-2.3332999999999986,4.005700000000005
0.9990000000000001,2.5845555555555397,-0.9728888888888774,4.834000000000003
1.0190000000000001,1.1995999999999947,1.0433000000000097,4.407299999999995
1.0390000000000001,0.2325999999999936,2.6551000000000093,3.048999999999992
1.0590000000000002,-0.6939000000000038,3.8028000000000044,1.6295999999999928
1.0790000000000002,-0.8278000000000002,4.0062,0.21789999999999154
1.0990000000000002,-0.5482222222222194,3.4253333333333282,-0.5760000000000027
1.1190000000000002,0.1757000000000047,2.006099999999991,-0.5808999999999992
1.1390000000000002,-0.16233333333334987,1.2323333333333273,-0.5414444444444443
1.1590000000000003,-0.9043000000000103,0.9516999999999949,-0.24779999999999308
1.179,-0.9501999999999984,1.086600000000002,0.6450000000000063
1.199,-0.5412,1.5018,2.0869999999999997
1.219,-1.2264444444444513,2.6620000000000075,3.6563333333333405
1.239,-2.8961818181818195,4.394545454545456,4.249818181818182
1.2590000000000001,-4.004090909090916,6.54490909090911,4.779636363636369
1.2790000000000001,-4.004399999999998,7.897700000000004,5.255200000000001
1.2990000000000002,-3.22736363636363,6.846727272727257,4.293636363636344
