timestamp,gyro_x,gyro_y,gyro_z
0.005,-0.21,-0.2,-0.03
0.025,-0.23,-0.019999999999999983,-0.01
0.045,-0.23,0.066,0.027999999999999997
0.065,-0.24666666666666667,0.25,0.08333333333333333
0.085,-0.59,0.29,-0.18
0.10500000000000001,-0.3566666666666666,0.07666666666666658,-0.09
0.125,-0.33499999999999996,-0.255,-0.20500000000000002
0.14500000000000002,-0.32999999999999985,-0.6300000000000004,-0.3
0.165,-0.27066666666666667,-0.5233333333333333,-0.34933333333333333
0.185,-0.27,-0.15,-0.63
0.20500000000000002,-0.3400000000000003,-0.12500000000000042,-0.8900000000000006
0.225,-0.39,-0.33090909090909093,-1.100909090909091
0.245,-0.4666666666666667,-0.36,-1.5266666666666666
0.265,-0.8099999999999999,0.53,-1.694
0.28500000000000003,-1.2020000000000004,1.0380000000000003,-1.8500000000000003
0.305,-1.6766666666666665,1.0933333333333335,-1.8
0.325,-1.24,0.88,-1.5666666666666667
0.34500000000000003,-0.8806666666666662,0.7926666666666665,-1.5406666666666666
0.365,0.4823076923076923,0.02384615384615385,-1.6092307692307692
0.385,1.02,0.02,-1.6
0.405,1.28,1.01,-1.72
0.425,0.5966666666666667,-0.85,-1.5466666666666666
0.445,0.08,-0.33,-1.24
0.465,-0.05,0.865,-0.975
0.485,-0.058333333333333334,0.5491666666666667,-0.9191666666666667
0.505,0.40076923076923077,0.31384615384615383,-0.9215384615384615
0.525,0.795,-0.16,-1.12
0.545,0.9,-0.48,-1.28
0.5650000000000001,1.2700000000000018,0.33000000000000335,-1.23
0.585,2.143333333333333,0.9233333333333333,-1.1433333333333333
0.605,1.3900000000000001,-1.4033333333333333,-1.0366666666666666
0.625,0.6599999999999999,0.09000000000000001,-1.0350000000000001
0.645,0.11,0.73,-1.1
0.665,-0.7647368421052632,1.0926315789473686,-1.072105263157895
0.685,-2.2866666666666666,2.063333333333333,-1.0233333333333334
0.7050000000000001,-3.210000000000002,1.9199999999999982,-0.9699999999999992
0.725,-3.22,0.99,-0.88
0.745,-2.8775,0.3075,-1.01
0.765,-1.31,-2.1,-1.22
0.785,-1.04,-2.77,-1.02
0.805,-1.4033333333333333,-2.47,-0.8866666666666667
0.8250000000000001,-2.1933333333333374,-2.113333333333332,-0.6933333333333329
0.845,-2.77,-2.08,-0.645
0.865,-3.9905263157894733,-1.5605263157894738,-0.4863157894736842
0.885,-5.41,-1.1766666666666665,-0.38
0.905,-5.33,-1.56,0.31
0.925,-4.69,-2.57,1.39
0.9450000000000001,-3.879999999999995,-3.8800000000000088,2.5800000000000067
0.965,-3.32,-4.9,3.24
0.985,-3.33,-4.97,3.44
1.005,-4.104999999999996,-3.625000000000007,3.739999999999999
1.025,-5.17,-1.57,4.02
1.045,-5.38,-1.15,4.22
1.065,-4.660000000000004,-2.316666666666661,4.556666666666666
1.085,-3.25,-4.32,4.46
1.105,-2.32,-5.78,3.7
1.125,-0.9,-7.27,2.94
1.145,1.59,-7.53,1.59
1.1649999999999998,3.35999999999999,-6.310000000000015,-0.09999999999998593
1.1849999999999998,3.36000000000001,-4.41000000000003,-1.259999999999989
1.2049999999999998,2.070000000000022,-2.110000000000033,-1.6799999999999977
1.2249999999999999,0.4000000000000222,0.22999999999996895,-1.650000000000001
1.2449999999999999,-0.9699999999999855,2.2799999999999745,-1.5100000000000033
1.265,-1.6249999999999982,3.6799999999999966,-1.1450000000000016
1.285,-1.85,4.18,-0.5
1.305,-1.92,4.16,0.19
1.325,-2.01,3.92,0.66
1.345,-2.07,3.64,0.79
1.365,-2.0266666666666673,3.1833333333333353,0.6900000000000007
1.385,-1.82,2.5,0.44
1.405,-1.4,1.88,0.02
1.4249999999999998,-0.7900000000000059,1.280000000000006,-0.30999999999999706
1.4449999999999998,-0.21000000000000446,0.625000000000005,-0.47999999999999887
1.4649999999999999,0.3649999999999983,-0.10749999999999749,-0.6149999999999994
1.4849999999999999,0.7933333333333313,-0.739999999999997,-0.7366666666666657
1.505,1.0,-1.09,-0.77
1.525,1.0,-1.12,-0.76
1.545,0.7933333333333343,-0.8166666666666679,-0.71
1.565,0.44000000000000045,-0.3740000000000005,-0.6240000000000001
1.585,-0.02666666666666543,0.12999999999999853,-0.5166666666666669
1.605,-0.32666666666666616,0.5099999999999992,-0.5133333333333331
1.625,-0.37,0.66,-0.54
1.645,-0.24,0.57,-0.52
1.665,-0.027499999999999167,0.36499999999999944,-0.51
1.6849999999999998,0.15666666666666568,0.14000000000000148,-0.4766666666666671
1.7049999999999998,0.24,-0.08999999999999853,-0.4066666666666672
1.7249999999999999,0.24,-0.2599999999999985,-0.32000000000000073
1.7449999999999999,0.18000000000000074,-0.3999999999999985,-0.27
1.765,0.12,-0.45,-0.24
1.785,0.04666666666666692,-0.44,-0.21
1.805,-0.01,-0.39,-0.18
1.825,-0.06,-0.29,-0.14
1.845,-0.1,-0.18,-0.08
1.865,-0.09,-0.11,-0.04
1.885,-0.05,-0.12,-0.00666666666666642
1.905,0.0,-0.21666666666666715,0.02
1.9249999999999998,0.06333333333333284,-0.33333333333333287,0.01666666666666716
1.9449999999999998,0.10999999999999778,-0.38,-0.01999999999999778
1.9649999999999999,0.14599999999999966,-0.32400000000000034,-0.07599999999999965
1.9849999999999999,0.24333333333333285,-0.12000000000000148,-0.12333333333333432
2.005,0.33333333333333287,-0.006666666666667161,0.049999999999998525
2.025,0.44333333333333286,-0.02,0.3866666666666642
2.045,0.5,-0.03,0.67
2.065,0.5466666666666665,-0.01,0.76
2.085,0.6080000000000002,0.0,0.7119999999999997
2.105,0.65,0.03333333333333284,0.5533333333333343
2.125,0.5833333333333333,0.07333333333333333,0.5233333333333333
2.145,0.33625000000000044,0.12,0.6624999999999998
2.165,0.05,0.13,0.81
2.185,-0.13666666666666666,0.10333333333333333,0.85
2.205,-0.3,-0.405,0.825
2.225,-0.015,-1.03,0.66
2.245,0.5800000000000001,-1.2149999999999999,0.25
2.265,0.9150000000000006,-1.029999999999999,-0.04750000000000028
2.285,0.8799999999999978,-0.6099999999999955,0.035000000000003334
2.305,0.6466666666666627,-0.48666666666666863,0.20666666666666567
2.3249999999999997,0.17000000000000887,-0.7399999999999956,-0.08999999999999111
2.3449999999999998,-0.7366666666666597,-0.8066666666666686,-0.9499999999999941
2.3649999999999998,-1.859999999999994,-0.15333333333333876,-1.6799999999999984
2.385,-2.3799999999999994,0.7399999999999971,-1.6000000000000014
2.405,-2.135000000000008,1.4899999999999933,-0.7900000000000111
2.425,-1.2850000000000144,1.77,-0.13500000000000556
2.445,-0.43125000000000097,1.291250000000002,0.051249999999999865
2.465,-0.18,-0.1399999999999943,0.07
2.485,-0.28,-1.369999999999997,0.16999999999999704
2.505,-0.04000000000000001,-1.08,0.5549999999999999
2.525,0.43999999999999995,-1.2650000000000001,0.725
2.545,0.8366666666666641,-0.860000000000006,-0.5833333333333225
2.565,1.01,0.12000000000000001,-2.085
2.585,0.64,0.84,-2.53
2.605,-0.01666666666666667,1.3733333333333333,-2.01
2.625,-0.26,1.0150000000000001,-1.6
2.645,0.1577777777777791,-0.01888888888889103,-0.9822222222222209
2.665,0.6799999999999999,-0.63,-0.33999999999999997
2.685,0.76,-0.7333333333333328,0.34000000000000297
2.705,0.805,-0.56,0.73
2.725,0.74,-0.325,0.925
2.745,0.4774999999999986,-0.07499999999999944,0.8849999999999995
2.765,0.09999999999999779,0.04500000000000037,0.7349999999999989
2.785,-0.31666666666666865,0.20000000000000148,0.4299999999999985
2.805,-0.5560000000000004,0.4040000000000005,0.2639999999999997
2.8249999999999997,-0.7049999999999988,0.5999999999999978,0.1550000000000011
2.8449999999999998,-0.6233333333333343,0.7833333333333329,0.1
2.8649999999999998,-0.5100000000000022,0.7700000000000022,0.1449999999999989
2.885,-0.33666666666666867,0.6033333333333343,0.2566666666666657
2.905,-0.2200000000000011,0.5849999999999994,0.30499999999999944
2.925,0.03666666666666272,0.5933333333333373,0.45666666666666267
2.945,0.40428571428571375,0.05285714285714376,0.7242857142857138
2.965,0.75,-0.41666666666666613,1.0833333333333333
2.985,0.5050000000000056,-1.029999999999989,0.6300000000000111
3.005,0.45666666666666667,-1.64,0.17
3.025,0.5933333333333333,-1.97,-0.13666666666666666
3.045,0.5,-1.6133333333333333,-0.23
3.065,0.6733333333333333,-0.6633333333333333,0.13
3.085,1.0350000000000001,0.13,0.54
3.105,1.0,0.14,0.64
3.125,0.63,-0.31,0.38666666666666666
3.145,0.1766666666666642,-0.6333333333333343,-0.006666666666668639
3.165,-0.275,-0.535,-0.3
3.185,-0.6400000000000015,-0.16999999999999704,-0.39666666666666717
3.205,-0.8366666666666671,0.35666666666667013,-0.41
3.225,-0.9,1.0133333333333372,-0.47
3.245,-0.8099999999999989,1.5300000000000034,-0.49499999999999944
3.265,-0.6366666666666665,1.778888888888889,-0.401111111111111
3.285,-0.4099999999999978,1.6299999999999955,-0.24499999999999889
3.305,-0.14333333333333137,1.1066666666666627,-0.19
3.325,0.12000000000000148,0.5333333333333299,-0.24666666666666714
3.3449999999999998,0.2959999999999986,0.07000000000000356,-0.31
3.3649999999999998,0.4416666666666661,-0.26333333333333225,-0.32416666666666694
3.385,0.53,-0.4649999999999994,-0.28
3.405,0.45666666666666866,-0.37666666666666865,-0.3266666666666657
3.425,0.32,-0.12,-0.29
3.445,0.24333333333333432,0.023333333333331357,-0.23333333333333434
3.465,0.21,0.15,-0.19
3.485,0.15,0.14,-0.32
3.505,0.03333333333333333,0.17666666666666667,-0.44666666666666666
3.525,-0.04,0.24,-0.4
3.545,-0.06,0.25,-0.29500000000000054
3.565,-0.09714285714285688,0.16285714285714314,-0.28714285714285687
3.585,-0.24,-0.03,-0.38
3.605,-0.46,-0.12,-0.44
3.625,-0.68,-0.18,-0.37
3.645,-0.74,-0.24,-0.18
3.665,-0.5999999999999985,-0.28,0.08000000000000147
3.685,-0.28500000000000003,-0.28,0.29500000000000004
3.705,0.16,-0.23,0.51
3.725,0.47,-0.21,0.63
3.745,0.5933333333333335,-0.19666666666666652,0.63
3.765,0.5566666666666656,-0.10333333333333285,0.5566666666666656
3.785,0.23,-0.04,0.4
3.805,-0.16,0.04,0.31
3.825,-0.41,0.13,0.32
3.8449999999999998,-0.5599999999999971,0.21,0.4299999999999985
3.8649999999999998,-0.56,0.25,0.5899999999999955
3.885,-0.42,0.31,0.73
3.905,-0.25,0.44,0.79
3.925,-0.07666666666666865,0.43666666666666865,0.6866666666666686
3.945,0.06,0.27,0.48
3.965,0.03,0.28,0.39
3.985,-0.01,0.29,0.43
4.005,-0.14499999999999888,0.3949999999999989,0.2875000000000017
4.025,-0.28,0.87,0.16
4.045,-0.24,1.12,0.93
4.065,-0.24,1.3,1.48
4.085,0.12,1.91,1.02
4.1049999999999995,0.41999999999999704,1.4900000000000384,0.6500000000000089
4.125,0.32,-0.03,0.4
4.145,0.21,-1.46,-0.36
4.165,-0.08999999999999704,-1.4100000000000088,-1.1566666666666598
4.185,-0.17666666666667455,-0.00666666666670418,-1.3633333333333373
4.205,0.34,1.23,-1.16
4.225,0.5533333333333373,1.9266666666666628,-0.9983333333333343
4.245,0.2259999999999986,2.041999999999997,-1.0640000000000014
4.265,0.3,1.56,-1.15
4.285,0.72,2.13,-0.84
4.305,1.147500000000001,2.3700000000000268,-0.09250000000000333
4.325,0.13,-0.39,-0.64
4.345,-0.22249999999999862,-1.5274999999999925,-1.397499999999998
4.365,-0.87,-2.94,-1.49
4.385,-1.09,-2.28,-0.9
4.405,-0.7949999999999967,-1.2324999999999917,-0.5474999999999972
